Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
0,-0.251095,-0.353285,-0.021168
1,-0.248905,-0.354015,-0.018978
2,-0.252555,-0.354745,-0.013139
3,-0.262044,-0.348175,-0.009489
4,-0.281752,-0.322628,-0.006569
5,-0.294891,-0.305839,0.00146
6,-0.30219,-0.294891,0.008759
7,-0.306569,-0.278832,0.008029
8,-0.309489,-0.248175,-0.00146
9,-0.305839,-0.205109,-0.013139
10,-0.291971,-0.161314,-0.024088
11,-0.276642,-0.121898,-0.021898
12,-0.263504,-0.09708,-0.021168
13,-0.253285,-0.080292,-0.016788
14,-0.241606,-0.067153,-0.015328
15,-0.229927,-0.056204,-0.015328
16,-0.219708,-0.048905,-0.016058
17,-0.205109,-0.045255,-0.027737
18,-0.207299,-0.059124,-0.040876
19,-0.215328,-0.078102,-0.054015
20,-0.213869,-0.092701,-0.066423
21,-0.216058,-0.121898,-0.081752
22,-0.212409,-0.151825,-0.094161
23,-0.20365,-0.183212,-0.106569
24,-0.191971,-0.213869,-0.113869
25,-0.185401,-0.236496,-0.113139
26,-0.184672,-0.249635,-0.112409
27,-0.178832,-0.259854,-0.113139
28,-0.175182,-0.271533,-0.111679
29,-0.175182,-0.276642,-0.109489
30,-0.178102,-0.281022,-0.106569
31,-0.194161,-0.270073,-0.105109
32,-0.210219,-0.239416,-0.10292
33,-0.230657,-0.191971,-0.090511
34,-0.241606,-0.168613,-0.081022
35,-0.247445,-0.148175,-0.070073
36,-0.241606,-0.122628,-0.062774
37,-0.232117,-0.090511,-0.051825
38,-0.218248,-0.084672,-0.056934
39,-0.20073,-0.068613,-0.056934
40,-0.191971,-0.072263,-0.061314
41,-0.179562,-0.056204,-0.054745
42,-0.162774,-0.040146,-0.048175
43,-0.156934,-0.035766,-0.043796
44,-0.154015,-0.034307,-0.043066
45,-0.145985,-0.031387,-0.044526
46,-0.115328,-0.016058,-0.029927
47,-0.089781,-0.00219,-0.005839
48,-0.069343,-0.016788,-0.027737
49,-0.045985,-0.018248,-0.021898
50,-0.016788,-0.031387,-0.025547
51,0.00219,-0.047445,-0.033577
52,0.011679,-0.054745,-0.034307
53,0.024088,-0.070073,-0.039416
54,0.037226,-0.080292,-0.038686
55,0.053285,-0.092701,-0.032847
56,0.060584,-0.119708,-0.045985
57,0.063504,-0.113869,-0.036496
58,0.063504,-0.114599,-0.038686
59,0.067883,-0.124088,-0.039416
60,0.077372,-0.135036,-0.032847
61,0.083212,-0.150365,-0.031387
62,0.09781,-0.170073,-0.015328
63,0.10146,-0.185401,-0.012409
64,0.111679,-0.185401,0.013139
65,0.113139,-0.208759,0.013869
66,0.107299,-0.235036,0.00292
67,0.09854,-0.255474,-0.008029
68,0.078832,-0.289051,-0.021898
69,0.059124,-0.315328,-0.029197
70,0.040146,-0.335766,-0.033577
71,0.013139,-0.348175,-0.048175
72,-0.00073,-0.363504,-0.043796
73,-0.011679,-0.362774,-0.050365
74,-0.025547,-0.362774,-0.059124
75,-0.039416,-0.345255,-0.079562
76,-0.048175,-0.318248,-0.09927
77,-0.052555,-0.282482,-0.114599
78,-0.051825,-0.241606,-0.122628
79,-0.048905,-0.181022,-0.124088
80,-0.050365,-0.137956,-0.113139
81,-0.051095,-0.105839,-0.10146
82,-0.047445,-0.09927,-0.09708
83,-0.043796,-0.094161,-0.094161
84,-0.039416,-0.081752,-0.086131
85,-0.045255,-0.075182,-0.083942
86,-0.054015,-0.072263,-0.083212
87,-0.040146,-0.076642,-0.083212
88,-0.008759,-0.070803,-0.066423
89,0.007299,-0.066423,-0.051825
90,0.009489,-0.062044,-0.048175
91,0.024818,-0.060584,-0.034307
92,0.029197,-0.052555,-0.018248
93,0.010219,-0.034307,-0.010949
94,-0.014599,-0.023358,-0.013869
95,-0.045985,-0.010949,-0.014599
96,-0.107299,-0.008029,-0.019708
97,-0.189781,-0.038686,-0.032117
98,-0.252555,-0.10146,-0.037956
99,-0.283942,-0.166423,-0.037956
100,-0.291971,-0.228467,-0.032847
101,-0.290511,-0.286861,-0.015328
102,-0.278832,-0.327007,0.0
103,-0.270803,-0.348175,0.010219
104,-0.264964,-0.355474,0.013869
105,-0.245255,-0.377372,0.021168
106,-0.213139,-0.40438,0.035036
107,-0.178102,-0.421168,0.040876
108,-0.150365,-0.424088,0.026277
109,-0.143796,-0.425547,0.028467
110,-0.164234,-0.424088,0.032117
111,-0.186861,-0.416788,0.036496
112,-0.209489,-0.407299,0.038686
113,-0.232117,-0.393431,0.039416
114,-0.260584,-0.371533,0.037226
115,-0.277372,-0.351095,0.032117
116,-0.292701,-0.321898,0.019708
117,-0.3,-0.294891,0.008029
118,-0.30438,-0.273723,0.00073
119,-0.308759,-0.261314,0.00146
120,-0.311679,-0.238686,-0.00073
121,-0.313869,-0.210949,0.00146
122,-0.308029,-0.158394,0.00365
123,-0.290511,-0.114599,0.00438
124,-0.268613,-0.083942,0.00146
125,-0.240146,-0.054015,-0.00219
126,-0.213139,-0.033577,-0.00292
127,-0.169343,-0.011679,-0.00292
128,-0.132117,-0.00292,-0.006569
129,-0.108029,-0.00146,-0.00438
130,-0.148175,-0.013139,-0.017518
131,-0.189781,-0.032847,-0.024818
132,-0.215328,-0.056204,-0.032847
133,-0.243066,-0.087591,-0.037226
134,-0.264234,-0.118248,-0.038686
135,-0.264964,-0.121898,-0.039416
136,-0.258394,-0.108759,-0.038686
137,-0.239416,-0.073723,-0.029197
138,-0.221898,-0.040146,-0.00365
139,-0.189781,-0.008759,0.026277
140,-0.143066,0.011679,0.049635
141,-0.090511,0.017518,0.082482
142,-0.059124,0.012409,0.09635
143,-0.037226,0.005109,0.116058
144,-0.017518,-0.008759,0.143796
145,0.00292,-0.032117,0.165693
146,0.027007,-0.068613,0.189051
147,0.035766,-0.087591,0.20073
148,0.036496,-0.09927,0.207299
149,0.049635,-0.120438,0.208029
150,0.059124,-0.137956,0.208029
151,0.072263,-0.162044,0.20073
152,0.066423,-0.145985,0.20073
153,0.078832,-0.164964,0.194161
154,0.09781,-0.189051,0.168613
155,0.108759,-0.189781,0.146715
156,0.1,-0.155474,0.154015
157,0.072993,-0.108759,0.172993
158,0.021168,-0.081752,0.208759
159,0.016788,-0.080292,0.210219
160,0.007299,-0.087591,0.222628
161,-0.013869,-0.10146,0.242336
162,-0.055474,-0.146715,0.275182
163,-0.091971,-0.182482,0.285401
164,-0.10292,-0.19781,0.286861
165,-0.105839,-0.208759,0.286861
166,-0.124088,-0.222628,0.287591
167,-0.160584,-0.238686,0.280292
168,-0.20438,-0.251825,0.263504
169,-0.226277,-0.270803,0.247445
170,-0.237956,-0.287591,0.233577
171,-0.248905,-0.30073,0.220438
172,-0.245255,-0.294891,0.225547
173,-0.240876,-0.277372,0.235766
174,-0.235036,-0.259124,0.246715
175,-0.231387,-0.243066,0.251825
176,-0.218248,-0.212409,0.261314
177,-0.210949,-0.20146,0.264234
178,-0.226277,-0.205109,0.256204
179,-0.242336,-0.19635,0.245255
180,-0.254745,-0.186861,0.236496
181,-0.265693,-0.173723,0.224818
182,-0.265693,-0.169343,0.224088
183,-0.246715,-0.184672,0.242336
184,-0.228467,-0.194161,0.253285
185,-0.212409,-0.2,0.264234
186,-0.20365,-0.214599,0.267883
187,-0.19927,-0.224088,0.268613
188,-0.2,-0.232847,0.268613
189,-0.208029,-0.251095,0.262044
190,-0.235036,-0.249635,0.247445
191,-0.270073,-0.224818,0.223358
192,-0.285401,-0.206569,0.207299
193,-0.287591,-0.19854,0.20438
194,-0.29635,-0.183212,0.190511
195,-0.30073,-0.174453,0.181752
196,-0.30292,-0.180292,0.175912
197,-0.310219,-0.182482,0.166423
198,-0.327737,-0.191241,0.112409
199,-0.327007,-0.170803,0.081752
200,-0.322628,-0.169343,0.046715
201,-0.30365,-0.164964,-0.006569
202,-0.267883,-0.154015,-0.053285
203,-0.227737,-0.131387,-0.077372
204,-0.205109,-0.120438,-0.088321
205,-0.179562,-0.116058,-0.09635
206,-0.158394,-0.111679,-0.1
207,-0.162044,-0.118978,-0.10438
208,-0.174453,-0.129197,-0.10365
209,-0.174453,-0.123358,-0.10219
210,-0.175912,-0.119708,-0.09927
211,-0.159854,-0.090511,-0.089051
212,-0.125547,-0.061314,-0.078102
213,-0.112409,-0.035036,-0.053285
214,-0.089051,-0.022628,-0.040146
215,-0.053285,-0.00292,0.00365
216,-0.034307,0.00219,0.032117
217,-0.027007,0.00365,0.043796
218,-0.018248,0.00073,0.048905
219,-0.023358,0.00292,0.053285
220,-0.027007,0.00365,0.048905
221,-0.043796,0.010219,0.054015
222,-0.064964,0.014599,0.072263
223,-0.066423,0.011679,0.118978
224,-0.052555,-0.005109,0.160584
225,-0.036496,-0.017518,0.172993
226,-0.018248,-0.010949,0.143796
227,-0.008759,-0.009489,0.127737
228,0.005839,-0.013139,0.121168
229,0.022628,-0.024818,0.122628
230,0.022628,-0.027737,0.126277
231,0.005839,-0.011679,0.105839
232,-0.039416,0.008759,0.10146
233,-0.09781,0.017518,0.10292
234,-0.137956,0.014599,0.094891
235,-0.175182,0.00438,0.089051
236,-0.173723,0.00438,0.105839
237,-0.124088,0.013869,0.111679
238,-0.045985,0.010949,0.094891
239,0.024088,-0.018978,0.081752
240,0.078832,-0.072263,0.067883
241,0.111679,-0.141606,0.055474
242,0.117518,-0.192701,0.039416
243,0.110949,-0.235766,0.017518
244,0.093431,-0.279562,-0.00073
245,0.032847,-0.348175,-0.023358
246,-0.048905,-0.383212,-0.041606
247,-0.09562,-0.40073,-0.029927
248,-0.112409,-0.40365,-0.025547
249,-0.144526,-0.386861,-0.044526
250,-0.182482,-0.364964,-0.053285
251,-0.235036,-0.335766,-0.044526
252,-0.278832,-0.289781,-0.027737
253,-0.29562,-0.229197,-0.025547
254,-0.29562,-0.188321,-0.023358
255,-0.293431,-0.166423,-0.022628
256,-0.287591,-0.152555,-0.021168
257,-0.291241,-0.141606,-0.013139
258,-0.280292,-0.082482,0.029927
259,-0.250365,-0.045985,0.037956
260,-0.221898,-0.022628,0.043796
261,-0.181752,0.00219,0.066423
262,-0.127007,0.016058,0.091971
263,-0.076642,0.015328,0.106569
264,-0.048905,0.007299,0.115328
265,-0.035036,0.00365,0.119708
266,-0.023358,-0.00146,0.121168
267,0.009489,-0.016058,0.119708
268,0.031387,-0.029927,0.117518
269,0.043066,-0.043066,0.124818
270,0.063504,-0.060584,0.118248
271,0.081752,-0.082482,0.109489
272,0.108759,-0.141606,0.109489
273,0.118248,-0.19781,0.107299
274,0.108759,-0.267883,0.107299
275,0.084672,-0.326277,0.094161
276,0.056204,-0.362774,0.093431
277,0.008029,-0.39854,0.09708
278,-0.053285,-0.423358,0.10365
279,-0.119708,-0.432117,0.09781
280,-0.172993,-0.423358,0.09927
281,-0.229197,-0.39635,0.09708
282,-0.267883,-0.367153,0.081022
283,-0.275912,-0.359124,0.075182
284,-0.281022,-0.352555,0.072263
285,-0.305109,-0.310949,0.060584
286,-0.315328,-0.286131,0.051095
287,-0.321898,-0.261314,0.050365
288,-0.322628,-0.20073,0.032117
289,-0.286131,-0.180292,-0.040146
290,-0.181752,-0.177372,-0.114599
291,-0.145985,-0.132117,-0.114599
292,-0.146715,-0.137956,-0.115328
293,-0.167153,-0.164964,-0.117518
294,-0.172993,-0.227737,-0.118978
295,-0.167153,-0.29562,-0.105109
296,-0.133577,-0.341606,-0.087591
297,-0.109489,-0.380292,-0.057664
298,-0.067153,-0.407299,-0.013139
299,-0.022628,-0.408759,0.025547
300,0.018248,-0.391971,0.048905
301,0.075912,-0.340146,0.078102
302,0.1,-0.29854,0.077372
303,0.114599,-0.256204,0.062774
304,0.119708,-0.186861,0.081752
305,0.10219,-0.113139,0.077372
306,0.081752,-0.075912,0.085401
307,0.045985,-0.041606,0.115328
308,-0.015328,-0.010949,0.140146
309,-0.121168,0.00073,0.154745
310,-0.261314,-0.066423,0.144526
311,-0.324088,-0.183942,0.110949
312,-0.305839,-0.312409,0.10219
313,-0.260584,-0.372263,0.10146
314,-0.240876,-0.386861,0.116058
315,-0.190511,-0.408759,0.133577
316,-0.139416,-0.423358,0.132117
317,-0.089051,-0.426277,0.124818
318,-0.072263,-0.413869,0.151825
319,0.00438,-0.375182,0.166423
320,0.045985,-0.350365,0.153285
321,0.085401,-0.313139,0.126277
322,0.109489,-0.264964,0.107299
323,0.118978,-0.205839,0.10146
324,0.110219,-0.140876,0.10438
325,0.094161,-0.094891,0.09562
326,0.082482,-0.076642,0.094161
327,0.062044,-0.057664,0.116788
328,0.038686,-0.037956,0.125547
329,-0.062774,0.011679,0.118248
330,-0.180292,0.00365,0.09635
331,-0.270803,-0.059124,0.076642
332,-0.310949,-0.123358,0.077372
333,-0.328467,-0.186131,0.092701
334,-0.329197,-0.235766,0.093431
335,-0.308759,-0.30365,0.105839
336,-0.270803,-0.361314,0.107299
337,-0.249635,-0.383212,0.074453
338,-0.230657,-0.394891,0.052555
339,-0.20219,-0.412409,0.067883
340,-0.174453,-0.421898,0.065693
341,-0.124818,-0.432117,0.081752
342,-0.083942,-0.427737,0.115328
343,-0.034307,-0.389781,0.176642
344,0.014599,-0.337956,0.20292
345,0.045985,-0.237956,0.227007
346,0.019708,-0.152555,0.243066
347,-0.034307,-0.105839,0.253285
348,-0.054015,-0.065693,0.234307
349,-0.043796,-0.027737,0.192701
350,-0.016058,-0.006569,0.134307
351,-0.036496,0.007299,0.10438
352,-0.108759,0.018248,0.055474
353,-0.167153,0.010949,0.081022
354,-0.228467,-0.024818,0.043066
355,-0.254015,-0.057664,0.010949
356,-0.310949,-0.194161,-0.005109
357,-0.30073,-0.248175,-0.017518
358,-0.307299,-0.271533,0.00292
359,-0.308759,-0.291241,0.024088
360,-0.283942,-0.351825,0.09781
361,-0.248905,-0.364234,0.163504
362,-0.222628,-0.370803,0.183212
363,-0.162044,-0.391971,0.194891
364,-0.10438,-0.373723,0.222628
365,-0.011679,-0.360584,0.20365
366,0.066423,-0.312409,0.173723
367,0.090511,-0.264234,0.169343
368,0.09635,-0.19927,0.175912
369,0.092701,-0.168613,0.178832
370,0.088321,-0.107299,0.148175
371,0.073723,-0.075912,0.132847
372,0.072263,-0.078102,0.148175
373,0.051095,-0.043796,0.125547
374,0.017518,-0.014599,0.110219
375,-0.027007,0.009489,0.10219
376,-0.136496,0.018978,0.10073
377,-0.212409,-0.010949,0.112409
378,-0.238686,-0.024088,0.081752
379,-0.289051,-0.075912,0.081752
380,-0.310949,-0.115328,0.092701
381,-0.324818,-0.152555,0.094161
382,-0.332117,-0.191971,0.093431
383,-0.331387,-0.240876,0.091971
384,-0.30365,-0.321168,0.116788
385,-0.240876,-0.387591,0.132847
386,-0.178102,-0.424818,0.10292
387,-0.145255,-0.433577,0.057664
388,-0.122628,-0.432847,0.039416
389,-0.108759,-0.427737,0.016788
390,-0.140876,-0.427007,0.022628
391,-0.231387,-0.39781,0.052555
392,-0.283942,-0.351825,0.052555
393,-0.313869,-0.294161,0.039416
394,-0.325547,-0.240146,0.040876
395,-0.324818,-0.174453,0.040146
396,-0.30219,-0.108029,0.039416
397,-0.280292,-0.072263,0.042336
398,-0.244526,-0.035036,0.047445
399,-0.148175,0.015328,0.055474
400,-0.00365,-0.009489,0.020438
401,0.064964,-0.052555,0.090511
402,0.080292,-0.094161,0.143796
403,0.10219,-0.133577,0.136496
404,0.124088,-0.205109,0.071533
405,0.090511,-0.309489,0.024818
406,0.073723,-0.344526,0.055474
407,-0.005109,-0.408759,0.09635
408,-0.007299,-0.410949,0.083212
409,-0.073723,-0.429927,0.046715
410,-0.158394,-0.426277,0.040876
411,-0.254015,-0.372263,0.026277
412,-0.306569,-0.291971,0.019708
413,-0.318978,-0.191971,0.016788
414,-0.308029,-0.127007,0.032847
415,-0.307299,-0.110949,0.064964
416,-0.327007,-0.20146,0.121898
417,-0.321898,-0.257664,0.127007
418,-0.30073,-0.3,0.151825
419,-0.281752,-0.289781,0.193431
420,-0.281752,-0.286131,0.19562
421,-0.268613,-0.319708,0.186861
422,-0.248905,-0.355474,0.172263
423,-0.228467,-0.371533,0.174453
424,-0.274453,-0.310219,0.186131
425,-0.280292,-0.237956,0.212409
426,-0.283212,-0.223358,0.211679
427,-0.274453,-0.285401,0.20438
428,-0.257664,-0.333577,0.187591
429,-0.277372,-0.275912,0.20365
430,-0.262044,-0.327007,0.189781
431,-0.260584,-0.337226,0.181752
432,-0.250365,-0.294161,0.223358
433,-0.232117,-0.284672,0.240876
434,-0.179562,-0.280292,0.266423
435,-0.147445,-0.280292,0.272993
436,-0.110219,-0.275912,0.278102
437,-0.178832,-0.288321,0.263504
438,-0.278832,-0.30292,0.187591
439,-0.312409,-0.30438,0.075182
440,-0.29635,-0.309489,0.012409
441,-0.287591,-0.332117,0.024818
442,-0.285401,-0.343066,0.040146
443,-0.308029,-0.308759,0.051095
444,-0.321898,-0.269343,0.051095
445,-0.324818,-0.266423,0.066423
446,-0.282482,-0.354015,0.084672
447,-0.240146,-0.392701,0.10219
448,-0.173723,-0.421898,0.111679
449,-0.079562,-0.432847,0.09708
450,-0.021168,-0.413869,0.113869
451,0.025547,-0.383942,0.124818
452,0.021898,-0.388321,0.121168
453,-0.010949,-0.406569,0.121168
454,-0.045255,-0.419708,0.125547
455,-0.078832,-0.424088,0.136496
456,-0.193431,-0.40292,0.154745
457,-0.292701,-0.3,0.167153
458,-0.314599,-0.252555,0.153285
459,-0.317518,-0.253285,0.145255
460,-0.263504,-0.359854,0.144526
461,-0.140876,-0.418978,0.151095
462,-0.023358,-0.40438,0.143796
463,0.010949,-0.390511,0.134307
464,-0.014599,-0.386131,0.174453
465,-0.030657,-0.335036,0.235766
466,-0.062044,-0.279562,0.272263
467,-0.091971,-0.264234,0.281022
468,-0.123358,-0.252555,0.283942
469,-0.219708,-0.321168,0.229927
470,-0.259124,-0.356934,0.156934
471,-0.323358,-0.269343,0.09562
472,-0.329927,-0.178102,0.086131
473,-0.325547,-0.159124,0.094161
474,-0.330657,-0.239416,0.09854
475,-0.292701,-0.335766,0.113869
476,-0.251095,-0.381752,0.118248
477,-0.29562,-0.330657,0.111679
478,-0.322628,-0.256204,0.128467
479,-0.319708,-0.217518,0.150365
480,-0.306569,-0.175912,0.172993
481,-0.289051,-0.146715,0.189051
482,-0.278832,-0.193431,0.215328
483,-0.248175,-0.251825,0.237226
484,-0.222628,-0.285401,0.245985
485,-0.192701,-0.290511,0.257664
486,-0.146715,-0.314599,0.259124
487,-0.10438,-0.309489,0.264234
488,-0.089781,-0.308029,0.264964
489,-0.116058,-0.282482,0.275912
490,-0.188321,-0.260584,0.267153
491,-0.278102,-0.263504,0.208029
492,-0.310219,-0.294161,0.128467
493,-0.292701,-0.330657,0.124818
494,-0.247445,-0.372993,0.147445
495,-0.192701,-0.39781,0.164964
496,-0.188321,-0.39708,0.166423
497,-0.283212,-0.325547,0.155474
498,-0.30365,-0.243066,0.177372
499,-0.30073,-0.191971,0.184672
500,-0.274453,-0.133577,0.20146
501,-0.250365,-0.083212,0.191971
502,-0.262044,-0.09708,0.190511
503,-0.309489,-0.217518,0.172263
