Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
168,0.90918,-0.416016,-0.225586
169,0.908691,-0.404297,-0.200195
170,0.960449,-0.42334,-0.214844
171,0.983887,-0.313477,-0.23291
172,1.01709,-0.213379,-0.17627
173,0.912109,-0.221191,-0.283203
174,0.945312,-0.086426,-0.261719
175,1.109863,0.041504,-0.187988
176,0.986328,0.055664,-0.230469
177,1.071289,0.084961,-0.175293
178,1.103516,0.01416,-0.047852
179,1.218262,0.020508,0.081055
180,1.132324,0.138672,0.090332
181,1.074707,0.172363,0.084473
182,1.042969,0.246094,0.052734
183,1.002441,0.300781,0.021973
184,0.998047,0.290527,0.037109
185,0.978516,0.348633,0.047852
186,0.946289,0.40918,0.029785
187,0.918945,0.463867,-0.001465
188,0.851074,0.449219,-0.009766
189,0.950195,0.382324,0.023926
190,0.989746,0.385254,0.039062
191,0.988281,0.286621,0.055176
192,1.03125,0.214844,0.104004
193,0.977051,0.15625,0.089355
194,1.008789,0.146484,0.150879
195,0.967773,0.145996,0.192871
196,0.982422,0.131348,0.289062
197,0.948242,0.117188,0.336914
198,0.92627,0.105957,0.432129
199,0.877441,0.041504,0.443359
200,0.88623,0.019531,0.443848
201,0.888184,0.062012,0.459473
202,0.858398,-0.022949,0.499512
203,0.827148,-0.054199,0.505859
204,0.837402,-0.081055,0.527344
205,0.782715,-0.231445,0.60791
206,0.691895,-0.345215,0.590332
207,0.674805,-0.307129,0.541504
208,0.52832,-0.631348,0.530273
209,0.401855,-0.776367,0.430176
210,0.265137,-0.880859,0.450195
211,0.404785,-0.944824,0.342285
212,0.226562,-0.984863,0.125977
213,0.142578,-0.993652,0.063965
214,0.108887,-0.995117,-0.003418
215,0.035156,-0.978027,0.0625
216,0.037598,-1.015137,-0.043945
217,-0.066406,-0.987305,-0.118652
218,-0.097656,-0.993164,-0.145996
219,-0.134766,-0.990723,-0.159668
220,-0.123047,-1.023926,-0.327637
221,-0.161621,-1.00293,-0.158203
222,-0.118164,-1.013672,-0.092285
223,-0.015625,-1.019531,-0.066406
224,0.14209,-0.976074,-0.027832
225,0.269531,-0.990723,0.041016
226,0.450195,-0.925293,-0.027832
227,0.628418,-0.798828,-0.035645
228,0.726562,-0.708008,-0.147949
229,0.907227,-0.566406,-0.149902
230,0.961914,-0.411133,-0.12793
231,1.0,-0.262695,-0.094727
232,0.930176,-0.216309,-0.182617
233,0.975586,-0.05127,-0.195312
234,1.034668,0.189941,-0.141113
235,1.011719,0.296875,-0.155273
236,1.00293,0.417969,-0.210938
237,0.916016,0.490234,-0.271973
238,0.762207,0.585449,-0.321289
239,0.722168,0.651855,-0.39209
240,0.616211,0.676758,-0.423828
241,0.59082,0.727051,-0.447754
242,0.542969,0.768066,-0.479492
243,0.515625,0.815918,-0.48877
244,0.507812,0.76416,-0.478516
245,0.541016,0.740234,-0.481445
246,0.578613,0.605957,-0.495117
247,0.661621,0.60498,-0.47998
248,0.791016,0.662598,-0.435547
249,0.897949,0.55127,-0.452148
250,0.789551,0.445312,-0.463379
251,0.71582,0.530762,-0.424316
252,0.70752,0.653809,-0.434082
253,0.607422,0.703613,-0.44873
254,0.508301,0.765137,-0.443848
255,0.46875,0.807617,-0.461426
256,0.362793,0.84082,-0.466797
257,0.30127,0.876953,-0.47998
258,0.189453,0.883301,-0.507812
259,0.130371,0.871094,-0.494141
260,0.220215,0.839844,-0.560547
261,0.381348,0.916504,-0.587402
262,0.556152,0.818359,-0.586426
263,0.690918,0.602539,-0.598633
264,0.8125,0.400391,-0.614258
265,0.723145,0.225098,-0.639648
266,0.793457,0.087402,-0.666992
267,0.76709,0.021484,-0.662598
268,0.790527,-0.050781,-0.668457
269,0.786133,-0.168457,-0.677246
270,0.822754,-0.424805,-0.638672
271,0.711426,-0.483887,-0.640137
272,0.655273,-0.561523,-0.61377
273,0.537109,-0.650391,-0.618652
