Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
0,-0.100586,-0.073242,-1.012695
1,-0.123535,-0.07959,-1.027832
2,-0.194336,-0.066895,-0.973145
3,-0.300781,-0.012207,-0.999023
4,-0.280762,-0.041992,-0.998047
5,-0.311035,-0.050293,-0.986816
6,-0.305664,-0.080566,-0.986328
7,-0.287598,-0.097656,-0.998047
8,-0.248535,-0.098633,-0.984863
9,-0.280762,-0.090332,-0.982422
10,-0.275879,-0.131836,-0.978027
11,-0.312988,-0.11377,-0.995117
12,-0.267578,-0.082031,-0.969238
13,-0.306641,-0.062988,-0.976562
14,-0.357422,-0.180176,-0.986816
15,-0.223633,-0.115723,-0.98877
16,-0.270508,-0.05957,-0.986328
17,-0.272949,-0.088867,-0.982422
18,-0.275391,-0.111328,-0.99707
19,-0.238281,-0.126953,-1.006348
20,-0.224609,-0.072754,-0.996094
21,-0.199707,-0.328125,-0.88916
22,-0.280762,-0.133789,-0.949707
23,-0.166992,-0.273438,-1.008789
24,-0.141602,-0.287598,-1.005859
25,-0.09668,-0.269043,-0.956543
26,-0.102539,-0.361816,-0.945801
27,-0.054199,-0.414062,-0.898926
28,-0.086426,-0.457031,-0.809082
29,-0.214844,-0.517578,-0.858887
30,-0.324219,-0.621582,-0.795898
31,-0.420898,-0.590332,-0.735352
32,-0.424316,-0.614258,-0.69043
33,-0.509277,-0.625488,-0.643066
34,-0.506348,-0.57666,-0.605469
35,-0.594238,-0.611816,-0.57373
36,-0.635254,-0.615723,-0.546875
37,-0.652344,-0.64502,-0.506348
38,-0.652832,-0.567383,-0.512207
39,-0.660156,-0.51123,-0.514648
40,-0.69873,-0.490723,-0.504395
41,-0.71582,-0.467773,-0.477539
42,-0.792969,-0.424805,-0.456055
43,-0.8125,-0.455566,-0.400879
44,-0.809082,-0.406738,-0.391113
45,-0.824219,-0.356445,-0.386719
46,-0.852051,-0.347656,-0.370117
47,-0.887207,-0.278809,-0.366699
48,-0.901855,-0.198242,-0.345215
49,-0.913086,-0.081055,-0.382324
50,-0.896973,-0.021484,-0.408203
51,-0.910645,0.01709,-0.421387
52,-0.911133,0.095215,-0.464355
53,-0.845215,0.120117,-0.475586
54,-0.834961,0.198242,-0.533203
55,-0.857422,0.1875,-0.555176
56,-0.749023,0.343262,-0.614258
57,-0.738281,0.344727,-0.652344
58,-0.710938,0.375,-0.666992
59,-0.5625,0.526367,-0.756348
60,-0.317383,0.297852,-0.845703
61,-0.382812,0.09668,-0.939941
62,-0.26416,0.189453,-0.953125
63,-0.273926,0.1875,-1.015137
64,-0.26123,0.159668,-1.040527
65,-0.191406,0.110352,-1.050293
66,-0.05957,0.088379,-1.027344
67,-0.04834,-0.004395,-1.027344
68,-0.058105,-0.039551,-1.040039
69,0.007324,-0.11084,-1.021484
70,0.039062,-0.188477,-1.030273
71,0.189453,-0.249512,-0.956543
72,0.227539,-0.414551,-0.959961
73,0.297363,-0.266113,-0.938477
74,0.334961,-0.114746,-0.966309
75,0.278809,-0.186035,-0.962891
76,0.20752,-0.196777,-0.973145
77,0.043945,-0.353027,-1.054688
78,-0.20459,-0.318359,-1.062012
