Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
144,0.110219,-0.151095,0.00292
145,0.107299,-0.125547,0.016058
146,0.09708,-0.10219,0.014599
147,0.078832,-0.070073,0.015328
148,0.059854,-0.048905,0.018978
149,0.050365,-0.038686,0.021168
150,0.039416,-0.027737,0.024818
151,0.029927,-0.016058,0.042336
152,0.023358,-0.009489,0.063504
153,0.020438,-0.007299,0.081752
154,0.018978,-0.006569,0.088321
155,0.020438,-0.005839,0.090511
156,0.027737,-0.010949,0.078102
157,0.031387,-0.014599,0.067883
158,0.031387,-0.014599,0.051825
159,0.029927,-0.016788,0.035766
160,0.026277,-0.018978,0.019708
161,0.018248,-0.018248,0.013869
162,0.010219,-0.016058,0.006569
163,-0.00219,-0.016058,-0.007299
164,-0.016788,-0.016788,-0.022628
165,-0.040146,-0.018248,-0.036496
166,-0.075182,-0.020438,-0.048905
167,-0.114599,-0.026277,-0.055474
168,-0.139416,-0.034307,-0.060584
169,-0.166423,-0.046715,-0.063504
170,-0.19562,-0.070803,-0.068613
171,-0.235036,-0.115328,-0.072993
172,-0.254745,-0.147445,-0.070073
173,-0.268613,-0.173723,-0.064234
174,-0.277372,-0.192701,-0.057664
175,-0.287591,-0.212409,-0.048175
176,-0.29562,-0.235036,-0.035766
177,-0.29854,-0.269343,-0.021168
178,-0.29708,-0.289051,-0.009489
179,-0.294891,-0.30365,-0.00438
180,-0.291971,-0.322628,0.009489
181,-0.289781,-0.333577,0.022628
182,-0.285401,-0.347445,0.040876
183,-0.274453,-0.364964,0.054015
184,-0.270073,-0.370803,0.064234
185,-0.269343,-0.371533,0.072993
186,-0.276642,-0.364234,0.088321
187,-0.282482,-0.359124,0.089051
188,-0.293431,-0.344526,0.086131
189,-0.305839,-0.322628,0.081752
190,-0.315328,-0.30438,0.083212
191,-0.320438,-0.294161,0.084672
192,-0.324818,-0.281022,0.083942
193,-0.326277,-0.269343,0.081752
194,-0.328467,-0.264234,0.079562
195,-0.329927,-0.259124,0.074453
196,-0.329927,-0.248905,0.055474
197,-0.328467,-0.235766,0.038686
198,-0.321898,-0.213139,0.013869
199,-0.324818,-0.181022,0.026277
200,-0.316788,-0.169343,0.009489
201,-0.310219,-0.157664,0.00219
202,-0.30365,-0.143066,-0.005109
203,-0.3,-0.132847,-0.005109
204,-0.29635,-0.123358,-0.00292
205,-0.291241,-0.114599,-0.006569
206,-0.290511,-0.10438,0.00365
207,-0.292701,-0.09708,0.015328
208,-0.290511,-0.091241,0.019708
209,-0.281022,-0.079562,0.018248
210,-0.262044,-0.056934,0.011679
211,-0.259124,-0.056934,0.00438
212,-0.243796,-0.040876,0.007299
213,-0.221898,-0.021898,0.011679
214,-0.19927,-0.007299,0.016788
215,-0.156934,0.014599,0.030657
216,-0.124088,0.021898,0.041606
217,-0.094161,0.024088,0.051825
218,-0.072263,0.025547,0.059854
219,-0.040876,0.019708,0.069343
220,-0.023358,0.014599,0.076642
221,-0.015328,0.013139,0.079562
222,-0.023358,0.013869,0.079562
223,-0.032117,0.018248,0.079562
224,-0.041606,0.018978,0.081022
225,-0.043066,0.019708,0.081752
226,-0.048905,0.022628,0.079562
227,-0.064964,0.026277,0.078832
228,-0.086131,0.025547,0.077372
229,-0.10438,0.027737,0.071533
230,-0.119708,0.026277,0.070073
231,-0.132117,0.024818,0.066423
232,-0.145255,0.021898,0.066423
233,-0.162044,0.018248,0.064234
234,-0.176642,0.013139,0.060584
235,-0.191241,0.006569,0.057664
236,-0.205839,-0.00073,0.051825
237,-0.220438,-0.010219,0.047445
238,-0.234307,-0.020438,0.042336
239,-0.240876,-0.026277,0.039416
240,-0.251825,-0.037226,0.035766
241,-0.259854,-0.043796,0.036496
242,-0.267153,-0.051095,0.033577
243,-0.273723,-0.059854,0.030657
244,-0.278102,-0.067153,0.024818
245,-0.283942,-0.075182,0.021168
246,-0.285401,-0.077372,0.023358
247,-0.284672,-0.075912,0.023358
248,-0.284672,-0.074453,0.026277
249,-0.282482,-0.070073,0.031387
250,-0.281022,-0.067883,0.035036
251,-0.281022,-0.068613,0.032847
252,-0.280292,-0.069343,0.029197
253,-0.278832,-0.067153,0.029927
254,-0.269343,-0.054015,0.032847
255,-0.245985,-0.027007,0.051825
256,-0.213139,-0.00292,0.072263
257,-0.182482,0.012409,0.089781
258,-0.153285,0.018248,0.10219
259,-0.120438,0.022628,0.114599
260,-0.089781,0.022628,0.122628
261,-0.062774,0.017518,0.129927
262,-0.035766,0.007299,0.135036
263,-0.017518,0.00292,0.134307
264,0.00146,-0.00438,0.131387
265,0.022628,-0.016058,0.129197
266,0.040146,-0.028467,0.124818
267,0.054745,-0.039416,0.124088
268,0.070073,-0.054745,0.118248
269,0.084672,-0.072263,0.113869
270,0.093431,-0.084672,0.109489
271,0.10073,-0.094161,0.10292
272,0.106569,-0.106569,0.09635
273,0.111679,-0.115328,0.092701
274,0.117518,-0.129197,0.083212
275,0.122628,-0.153285,0.085401
276,0.127737,-0.170803,0.087591
277,0.128467,-0.187591,0.089781
278,0.129197,-0.20219,0.082482
279,0.125547,-0.234307,0.09562
280,0.116788,-0.268613,0.108029
281,0.093431,-0.314599,0.119708
282,0.081752,-0.332117,0.124818
283,0.068613,-0.348175,0.129197
284,0.049635,-0.364964,0.134307
285,0.037226,-0.375182,0.139416
286,0.024818,-0.383942,0.139416
287,0.007299,-0.393431,0.143796
288,0.00073,-0.39854,0.143796
289,-0.020438,-0.409489,0.138686
290,-0.043796,-0.419708,0.132117
291,-0.073723,-0.429197,0.126277
292,-0.106569,-0.431387,0.126277
293,-0.136496,-0.431387,0.126277
294,-0.181752,-0.421168,0.123358
295,-0.224818,-0.40146,0.120438
296,-0.250365,-0.383942,0.117518
297,-0.273723,-0.363504,0.113139
298,-0.288321,-0.346715,0.110219
299,-0.30292,-0.329197,0.105109
300,-0.310949,-0.312409,0.10073
301,-0.318248,-0.29708,0.094891
302,-0.324088,-0.280292,0.089051
303,-0.330657,-0.259124,0.081022
304,-0.333577,-0.234307,0.076642
305,-0.335036,-0.209489,0.067153
306,-0.332847,-0.2,0.054745
307,-0.327737,-0.194161,0.031387
308,-0.319708,-0.194891,0.007299
309,-0.312409,-0.20219,-0.009489
310,-0.3,-0.213869,-0.032847
311,-0.279562,-0.238686,-0.056204
312,-0.267153,-0.247445,-0.064964
313,-0.262044,-0.260584,-0.067153
314,-0.264234,-0.284672,-0.057664
315,-0.259854,-0.316058,-0.043066
316,-0.248905,-0.354745,-0.018248
317,-0.230657,-0.389781,0.020438
318,-0.207299,-0.412409,0.069343
319,-0.187591,-0.420438,0.1
320,-0.167153,-0.420438,0.130657
321,-0.138686,-0.410949,0.168613
322,-0.117518,-0.385401,0.207299
323,-0.108029,-0.367153,0.227737
324,-0.10438,-0.336496,0.252555
325,-0.09708,-0.29635,0.272263
326,-0.091971,-0.268613,0.280292
327,-0.086861,-0.256204,0.283212
328,-0.071533,-0.235036,0.284672
329,-0.077372,-0.20292,0.286131
330,-0.093431,-0.2,0.288321
331,-0.085401,-0.172263,0.286861
332,-0.084672,-0.157664,0.283942
333,-0.066423,-0.162774,0.282482
334,-0.048905,-0.168613,0.279562
335,-0.032117,-0.180292,0.275912
336,-0.024088,-0.19635,0.275912
337,-0.017518,-0.206569,0.272993
338,-0.00146,-0.251095,0.261314
339,0.011679,-0.288321,0.241606
340,0.029197,-0.286131,0.230657
341,0.040876,-0.263504,0.231387
342,0.050365,-0.244526,0.228467
343,0.055474,-0.234307,0.224088
344,0.051095,-0.218248,0.229927
345,0.040876,-0.216058,0.240146
346,0.028467,-0.219708,0.247445
347,0.024818,-0.230657,0.248905
348,0.022628,-0.274453,0.237226
349,0.011679,-0.330657,0.213869
350,0.00219,-0.355474,0.19708
351,-0.008029,-0.381022,0.172993
352,-0.018978,-0.39635,0.157664
353,-0.024088,-0.40073,0.153285
354,-0.033577,-0.40365,0.155474
355,-0.047445,-0.408029,0.156204
356,-0.050365,-0.407299,0.159854
357,-0.046715,-0.408759,0.156934
358,-0.020438,-0.409489,0.128467
359,-0.008759,-0.405109,0.126277
360,0.006569,-0.39927,0.118978
361,0.017518,-0.394891,0.108759
362,0.020438,-0.394161,0.10219
363,0.023358,-0.393431,0.088321
364,0.031387,-0.388321,0.081752
365,0.041606,-0.379562,0.075182
366,0.056934,-0.365693,0.068613
367,0.068613,-0.352555,0.056934
368,0.070073,-0.350365,0.051095
369,0.070803,-0.345985,0.044526
370,0.069343,-0.350365,0.048905
371,0.065693,-0.356204,0.063504
372,0.062044,-0.359854,0.070803
373,0.056204,-0.365693,0.074453
374,0.049635,-0.371533,0.075912
375,0.048905,-0.372263,0.076642
376,0.049635,-0.371533,0.070073
377,0.054015,-0.366423,0.058394
378,0.058394,-0.359854,0.047445
379,0.061314,-0.354015,0.037956
380,0.071533,-0.337226,0.023358
381,0.085401,-0.313139,0.016788
