roll,pitch,yaw
-3.289471937764831821e-02,-1.985670774576257658e-06,7.737624810182007484e-02
4.137665183918596418e-02,2.692148567041921056e-06,-1.017015916811877391e-01
6.129571245559075621e-01,4.794287860202684902e-05,-1.621293370901725650e+00
3.618865793768561434e-01,2.848307718563216845e-05,-1.026909596883609277e+00
-1.152191989500349345e-01,-9.700182591943223655e-06,3.743898711706924454e-01
2.354282179297088884e-01,2.185523563911186403e-05,-7.881646110248808901e-01
-9.415314552655920655e-02,-1.022099498423868422e-05,3.574717200478179091e-01
-7.599459181877698047e-03,-9.044966128365153109e-07,3.212268566779489382e-02
9.602527076013794849e-02,1.281552573936419519e-05,-4.912605024495995121e-01
-1.564581261647401966e-01,-2.338162209709243914e-05,7.873567349761398937e-01
8.967725110691217305e-02,1.769751833876617242e-05,-5.936007899667530285e-01
-1.147242429170468453e-01,-2.693052835500200700e-05,8.790310486233939846e-01
9.370523127161431431e-02,2.620488831847521746e-05,-8.508332427799815134e-01
4.767413566032900618e-02,1.587001100371131782e-05,-5.182514845152119687e-01
1.428834183419839567e-02,9.109862107669312401e-06,-3.162696033069610779e-01
3.519702989540421378e-02,3.492217088810082513e-05,-1.172929726320870225e+00
5.364405990701112334e-03,1.643765481457604166e-05,-5.445363121142008378e-01
-6.013490298988733752e-03,1.545998504380804937e-05,-5.102816497293667375e-01
3.184549719001786294e-02,-1.573109440471467607e-05,5.460780292453714102e-01
1.198361664141776028e-01,-4.302193100128777503e-05,1.456791995485555713e+00
-1.502040211449580942e-01,4.968998350750906750e-05,-1.670535094724398650e+00
3.743811550820830281e-02,-6.325377871582015309e-06,2.485932478845899185e-01
2.746596532177475458e-01,-3.881887014046459162e-05,1.507120530064029573e+00
7.787921385889869097e-02,-1.223903535850458577e-05,4.321546995150035153e-01
1.237155204498567758e-02,-1.513772856315837641e-06,5.839013306465969111e-02
4.119458721897585607e-02,-4.969951366529266667e-06,1.814652101799601458e-01
-1.909119394882717591e-02,1.851831628277809610e-06,-7.318454602079672855e-02
-1.540012609568891522e-01,1.102211309869733403e-05,-5.027089782268502338e-01
7.635268031041210490e-02,-5.605930088753067202e-06,2.356526682367075798e-01
2.486156575803564767e-03,-1.525284097323906666e-07,7.018952486215160325e-03
-1.238290141670174566e-01,7.113654654766635343e-06,-3.287687173367696003e-01
-1.299854294628694819e-02,6.235486639213882149e-07,-3.148312194290820570e-02
3.417518132437898370e-01,-1.743297582771776246e-05,7.970861912102414903e-01
5.256792839661777322e-02,-2.055969530440820611e-06,1.118457956224193500e-01
-3.946212980512454616e-01,1.274157828704628423e-05,-7.881672338831586799e-01
2.560301255497774986e-01,-5.989535917480733287e-06,4.587370633754799809e-01
4.207544210412249575e-01,-1.062592848980168332e-05,7.396204988142031089e-01
-1.356035600246682515e-01,2.793513818015302879e-06,-2.268233634145667144e-01
6.425964174889352565e-01,-1.235701733580784360e-05,1.017367236069983472e+00
2.630125165616002403e-01,-4.276565855676328886e-06,3.997548812034288357e-01
1.330587028874128108e-01,-8.666037551083422441e-07,1.822354048690402739e-01
8.282062222265169638e-01,-6.885458586801061810e-06,1.106296378046937479e+00
6.378643998280117411e-02,-1.484418331072031928e-07,7.997612831969809488e-02
4.093373181869273958e-02,-1.338861314100814829e-07,5.089982622861945888e-02
-4.918240818878884535e-01,-1.065677750647488067e-06,-5.718209041068987863e-01
1.743067770584726117e-01,9.792063831692613762e-07,1.892288841423092061e-01
4.332524062585803581e-01,3.228529267857312175e-06,4.497265203740034578e-01
-2.314638550461171340e-01,-2.365871328270780176e-06,-2.306891654371046596e-01
-2.009545001745394188e-01,-2.567935820269860814e-06,-1.904564671371859474e-01
-5.871195599776964924e-01,-7.512288125534571882e-06,-5.521457440959490759e-01
5.871011467427491581e-01,9.429809115816243343e-06,4.975674225933426897e-01
-8.287351099813291544e-01,-1.551403149688686969e-05,-6.869509326763586499e-01
7.035784226733674540e-01,1.462849350366885834e-05,5.356757129992493205e-01
-2.675380560634110783e-01,-6.600514558145761908e-06,-1.930828835126329190e-01
-1.633879986853517541e-01,-4.378761879141029929e-06,-1.125970151442831912e-01
-9.332117335596497032e-01,-2.678103883318416238e-05,-6.190180199153650920e-01
3.353712270480794233e-01,9.453349340264067204e-06,2.069218695933962016e-01
-3.773941987619253147e-01,-1.243102307382748112e-05,-2.207137833649567837e-01
-4.747830573821133493e-01,-1.538282501170400943e-05,-2.610790192684419031e-01
7.263062075928448103e-01,2.343037773184059546e-05,3.763803196669079920e-01
-2.283117678838166853e-01,-8.434706672485301981e-06,-1.077624817548003128e-01
-3.636166084579886548e-01,-1.346124881873116458e-05,-1.655374695946272845e-01
-5.056899956811035102e-01,-2.021637054301217152e-05,-2.133851385102453202e-01
-1.031838541499334183e-01,-4.188136697222924040e-06,-4.125707574362619257e-02
-2.252448499301900608e-01,-9.254375224412413336e-06,-8.368055332860992179e-02
1.312420826295363163e+00,5.247884485845418715e-05,4.382471311669845493e-01
-5.861702734121784220e-01,-2.594761534314167286e-05,-1.875187849158255204e-01
-9.889550740816294150e-01,-4.422993587235113193e-05,-2.720835805533300400e-01
2.761952141270486161e-01,1.319189824087026053e-05,7.305558467230728603e-02
1.025788323288130188e+00,4.635778762438698587e-05,2.255194747432857361e-01
8.086007597116672274e-01,3.841771359739828918e-05,1.594724243929859786e-01
-8.904212809195996003e-01,-4.309163384304243562e-05,-1.740123632783434626e-01
9.924656821120722006e-01,4.713946129490281968e-05,1.381610595200341296e-01
3.193779828040701485e-01,1.636436376656138256e-05,3.790870067257942622e-02
-3.587425546730213521e-01,-1.791205427396267458e-05,-3.526376866847186903e-02
-7.774439040431975201e-01,-4.013732014240853314e-05,-6.763908506045880620e-02
1.487958694123523440e+00,7.491862009373810658e-05,6.582165425420451188e-02
-1.136946984390302173e+00,-6.030616902625110000e-05,-4.786439659601315205e-02
2.726904123341594155e-01,1.447334950327489320e-05,2.842615755003087552e-03
-1.042524380404182827e-01,-5.299085898987597319e-06,2.572938328529100066e-03
-9.429437466539532242e-02,-4.785942808114264382e-06,4.279362868510217834e-03
-5.804105524123328586e-01,-2.980096745531634817e-05,4.008492254022091167e-02
9.573486101421889438e-02,4.939788518628720133e-06,-9.692632401682828996e-03
8.964899546803478669e-02,4.657568047829006305e-06,-1.064889540835914535e-02
-4.436771695820948547e-01,-2.236841925936604156e-05,6.217893912402514683e-02
2.769326471649909971e-01,1.415869235053412125e-05,-4.698986287471185186e-02
4.702521360822712326e-01,2.386888391879050342e-05,-9.302095793492329290e-02
9.932350052750714697e-01,4.938923760284013085e-05,-2.211381770094871524e-01
-7.210325325802909857e-01,-3.679619238988189638e-05,1.709011387936832105e-01
-3.020979430577581115e-01,-1.432668351779088971e-05,8.182106329199856365e-02
1.652992270246499973e-01,7.766825241817572600e-06,-4.968332756198056560e-02
-1.127184409214740946e-01,-5.295027348649673228e-06,3.582325048520538374e-02
-3.819633488158244994e-01,-1.631666847078479314e-05,1.437517047005925364e-01
1.214850362842859466e-01,5.743844703735526163e-06,-4.446532417735746950e-02
3.619702250626555262e-01,1.604070122778514015e-05,-1.447596793053951558e-01
6.417087528984258826e-01,2.692306479131417263e-05,-2.766403249308838075e-01
-6.944388030215755681e-01,-2.732737518309987678e-05,3.287948057369622923e-01
7.220584208645214330e-01,2.805966402357855450e-05,-3.632779628813895267e-01
-8.709874352672457576e-01,-3.191273179611765624e-05,4.420688019700843574e-01
3.946199184013211847e-02,1.438339265288728632e-06,-2.130238295007218577e-02
-3.735313288814566257e-01,-1.251030415304705652e-05,2.166226704956329963e-01
-3.404260261089279288e-02,-1.062853883175176917e-06,2.103199241138221237e-02
1.456707712526707395e-02,3.969716482728045197e-07,-9.622857331657378929e-03
5.248480302104666650e-01,1.356338375587601340e-05,-3.622796868084022792e-01
-4.791038939888618564e-02,-1.180429908588791474e-06,3.375880254436106065e-02
-1.565504335230094302e-01,-3.366669520276821659e-06,1.169562879983134102e-01
-1.047989322104834163e-02,-1.966596427932482746e-07,8.200325637400347409e-03
4.816592327242364413e-01,6.862837384351330468e-06,-4.054227586409073769e-01
-4.692279819873573787e-01,-5.836110514706946970e-06,3.999654121703012377e-01
-4.793811837302839329e-01,-3.743319111509638326e-06,4.340655396464336846e-01
-2.153344363484624158e-01,-1.253002953642437143e-06,2.023069230340925895e-01
-2.772740050193150951e-01,-3.634311839676161564e-07,2.730703010972035938e-01
-1.049924718118337319e+00,5.822834377312227407e-06,1.098224138690399476e+00
-5.236101846346434829e-01,5.007229794618920594e-06,5.805323822425335623e-01
-6.694369435289758696e-01,1.114120219430906482e-05,7.864188742043149993e-01
6.060700181129371478e-01,-7.824278426221214594e-06,-7.030661480631483773e-01
-3.254624344729519780e-01,7.695874809505385463e-06,4.103123316500855156e-01
1.582858112703774411e-01,-4.738856855479249909e-06,-2.102082950367672454e-01
-2.038274011801105220e-02,6.599958300741827697e-07,2.780275714884130472e-02
-2.705261179955033291e-02,1.043489542944225546e-06,3.840821133311320829e-02
-7.825869909672110436e-02,3.543924430967240861e-06,1.181108592376534094e-01
-2.077119511599876400e-01,1.137284157429512747e-05,3.363130739552356863e-01
4.227564931568278395e-02,-2.649470842123990910e-06,-7.324519375872873272e-02
-3.513203327814950483e-01,2.464830622457034085e-05,6.292184859313538769e-01
