Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
0,1.000977,-0.243164,0.041992
1,0.972656,-0.306641,0.080078
2,0.937988,-0.375,0.059082
3,0.92627,-0.472168,0.034668
4,0.866211,-0.581543,-0.010254
5,0.80127,-0.643066,-0.05127
6,0.77002,-0.677246,-0.125
7,0.73877,-0.719727,-0.215332
8,0.685059,-0.726562,-0.304199
9,0.65332,-0.70459,-0.382812
10,0.586426,-0.698242,-0.451172
11,0.577148,-0.730469,-0.499512
12,0.54834,-0.716797,-0.536621
13,0.521973,-0.713867,-0.574219
14,0.500977,-0.68457,-0.611328
15,0.468262,-0.664551,-0.666504
16,0.423828,-0.623535,-0.721191
17,0.384277,-0.602539,-0.782715
18,0.361816,-0.541504,-0.813477
19,0.313965,-0.462891,-0.879395
20,0.28125,-0.469727,-0.901367
21,0.279785,-0.402832,-0.919434
22,0.259277,-0.38916,-0.942383
23,0.253418,-0.355957,-0.949707
24,0.242188,-0.333984,-0.95459
25,0.228027,-0.333496,-0.970215
26,0.204102,-0.270508,-0.979004
27,0.170898,-0.238281,-0.99707
28,0.170898,-0.232422,-1.004395
29,0.156738,-0.20459,-1.009766
30,0.147461,-0.177734,-1.014648
31,0.144043,-0.126953,-1.008301
32,0.105469,-0.104004,-1.028809
33,0.082031,-0.047363,-1.020996
34,0.064453,-0.046875,-1.04834
35,0.041504,-0.014648,-1.03418
36,0.01123,0.060547,-1.038574
37,-0.00293,0.137695,-1.026367
38,-0.005859,0.230469,-1.019531
39,0.017578,0.187012,-1.016602
40,0.040527,0.243652,-1.009766
41,0.033203,0.320801,-0.989258
42,0.08252,0.320312,-0.975586
43,0.094238,0.32373,-0.986816
44,0.134277,0.348633,-0.964844
45,0.158203,0.408691,-0.928223
46,0.15332,0.462402,-0.888184
47,0.187988,0.530762,-0.861816
48,0.213867,0.561523,-0.825684
49,0.249023,0.586914,-0.822266
50,0.280273,0.599121,-0.78125
51,0.268555,0.624512,-0.790527
52,0.31543,0.590332,-0.777344
53,0.327148,0.57666,-0.769531
54,0.32959,0.588379,-0.79248
55,0.341797,0.588867,-0.779297
56,0.337891,0.598633,-0.796387
57,0.394531,0.54834,-0.757812
58,0.345703,0.578125,-0.800781
59,0.414551,0.541016,-0.76416
60,0.434082,0.54541,-0.761719
61,0.461426,0.536621,-0.754883
62,0.419922,0.553711,-0.780273
63,0.471191,0.49707,-0.794922
64,0.503418,0.486328,-0.767578
65,0.535645,0.480957,-0.758301
66,0.556152,0.461426,-0.752441
67,0.584473,0.433594,-0.752441
68,0.603027,0.404785,-0.749023
69,0.625977,0.39502,-0.748535
70,0.634766,0.351562,-0.755371
71,0.679199,0.312988,-0.728027
72,0.669922,0.301758,-0.748047
73,0.717773,0.263672,-0.710449
74,0.731934,0.259277,-0.705566
75,0.80127,0.203125,-0.662598
76,0.75,0.177734,-0.721191
77,0.771484,0.144531,-0.695801
78,0.754883,0.109863,-0.71582
79,0.775879,0.09668,-0.714355
80,0.774414,0.066895,-0.70459
81,0.798828,0.025879,-0.693359
82,0.8125,-0.008301,-0.688477
83,0.815918,-0.015137,-0.648926
84,0.853027,-0.047852,-0.630859
85,0.830078,-0.078613,-0.629883
86,0.85791,-0.10791,-0.59375
87,0.848145,-0.172363,-0.598633
88,0.852051,-0.200195,-0.575684
89,0.854492,-0.22998,-0.560547
90,0.818848,-0.252441,-0.583984
91,0.842285,-0.304199,-0.536621
92,0.848145,-0.322266,-0.502441
93,0.851074,-0.360352,-0.481934
94,0.852051,-0.416016,-0.45166
95,0.848145,-0.449219,-0.411133
96,0.77832,-0.55957,-0.434082
97,0.77002,-0.555664,-0.390137
98,0.651367,-0.672852,-0.424316
99,0.447754,-0.728027,-0.505371
100,0.260254,-0.87207,-0.507812
101,0.160156,-0.931152,-0.473633
102,0.089355,-0.907715,-0.464355
103,0.021973,-0.911621,-0.44873
104,-0.03125,-0.911133,-0.442383
105,-0.095215,-0.916992,-0.419434
106,-0.183105,-0.94043,-0.378906
107,-0.245117,-0.919922,-0.349609
108,-0.328613,-0.941406,-0.325195
109,-0.374512,-0.898926,-0.282227
110,-0.409668,-0.887207,-0.236816
111,-0.453613,-0.857422,-0.20459
112,-0.490723,-0.871094,-0.188477
113,-0.532227,-0.831543,-0.160645
114,-0.566895,-0.818848,-0.164551
115,-0.623047,-0.742188,-0.174316
116,-0.678711,-0.706055,-0.168457
117,-0.724609,-0.651367,-0.180664
118,-0.763672,-0.57666,-0.197754
119,-0.814453,-0.527344,-0.178223
120,-0.834961,-0.443359,-0.139648
121,-0.912109,-0.326172,-0.138672
122,-0.944824,-0.22998,-0.135742
123,-0.963379,-0.160645,-0.096191
124,-0.957031,-0.095215,-0.093262
125,-0.981445,-0.025879,-0.072754
126,-0.960938,0.003906,-0.060547
127,-0.973145,0.038086,-0.074707
128,-0.979492,0.119141,-0.057617
129,-0.945801,0.180176,-0.036621
130,-0.960449,0.226074,-0.040527
131,-0.945801,0.288086,-0.060547
132,-0.896484,0.342773,0.010254
133,-0.893066,0.407227,-0.0625
134,-0.807617,0.514648,-0.098145
135,-0.753906,0.549805,-0.101562
136,-0.741211,0.592773,-0.114746
137,-0.673828,0.758301,-0.137207
138,-0.61084,0.751465,-0.147461
139,-0.571289,0.763184,-0.148438
140,-0.422363,0.901855,-0.17627
141,-0.341797,0.908203,-0.189453
142,-0.217773,0.904785,-0.191895
143,-0.162109,1.209961,-0.249023
144,0.004883,0.998047,-0.192871
145,0.106934,0.979492,-0.153809
146,0.210449,0.975586,-0.144531
147,0.327637,0.958008,-0.115723
148,0.430664,0.928223,-0.116211
149,0.560547,0.838867,-0.077148
150,0.691406,0.751953,-0.033203
151,0.76416,0.676758,-0.009277
152,0.843262,0.587402,-0.008789
153,0.892578,0.489746,-0.053711
154,0.93457,0.368164,-0.146973
155,0.960938,0.286621,-0.208008
156,0.97998,0.243652,-0.261719
157,0.958984,0.175781,-0.318848
158,0.956055,0.131348,-0.376465
159,0.955566,0.09668,-0.444824
160,0.911133,0.041992,-0.541992
161,0.849121,0.003418,-0.615234
162,0.794922,0.000488,-0.675293
163,0.745117,-0.024414,-0.746094
164,0.674316,-0.001465,-0.800293
165,0.588379,-0.01416,-0.876465
166,0.500488,-0.07959,-0.921387
167,0.406738,-0.155273,-0.961914
168,0.296387,-0.168945,-0.992188
169,0.209473,-0.179688,-1.007812
170,0.138184,-0.181641,-1.030273
171,0.06543,-0.137695,-1.024902
172,0.000488,-0.111816,-1.03125
173,-0.072266,-0.074219,-1.030273
174,-0.121094,-0.044434,-1.02002
175,-0.187012,0.030273,-1.018555
176,-0.266602,0.11377,-0.97998
177,-0.29834,0.128418,-0.973145
178,-0.354004,0.203613,-0.926758
179,-0.370605,0.226562,-0.924805
180,-0.393555,0.267578,-0.901367
181,-0.384766,0.306641,-0.884766
182,-0.387695,0.347168,-0.868164
183,-0.391113,0.399902,-0.854004
184,-0.379395,0.473145,-0.802246
185,-0.396973,0.582031,-0.723145
186,-0.451172,0.624512,-0.658203
187,-0.460938,0.713867,-0.613281
188,-0.481934,0.695801,-0.525879
189,-0.519531,0.693848,-0.498535
190,-0.498047,0.722656,-0.470215
191,-0.574219,0.716797,-0.378418
192,-0.605957,0.711914,-0.334473
193,-0.453125,0.765137,-0.332031
194,-0.104004,0.940918,-0.379395
195,0.052734,0.921387,-0.446289
196,0.215332,0.922363,-0.355469
197,0.28418,0.902344,-0.391602
198,0.36377,0.878418,-0.413574
199,0.412598,0.831055,-0.433105
200,0.53418,0.768066,-0.430664
201,0.696289,0.64209,-0.442871
202,0.78125,0.493164,-0.47998
203,0.874023,0.334473,-0.483887
204,0.908203,0.170898,-0.446777
205,0.95752,0.091797,-0.443359
206,0.929199,-0.071289,-0.479492
207,0.859375,-0.21875,-0.462891
208,0.854492,-0.244629,-0.42334
209,0.803711,-0.538086,-0.473633
210,0.705078,-0.615234,-0.411621
211,0.623535,-0.728516,-0.368652
212,0.542969,-0.828613,-0.383301
213,0.337402,-0.916016,-0.306641
214,0.262207,-0.933594,-0.337891
215,0.201172,-0.978027,-0.256348
216,0.06543,-0.97168,-0.268555
