Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
168,0.455078,-0.803223,-0.508301
169,0.462891,-0.811523,-0.468262
170,0.473633,-0.834961,-0.456055
171,0.461426,-0.806641,-0.416016
172,0.439941,-0.836426,-0.389648
173,0.460449,-0.833496,-0.354004
174,0.474609,-0.838379,-0.328613
175,0.491211,-0.841309,-0.274902
176,0.473145,-0.866699,-0.228027
177,0.488281,-0.874023,-0.174316
178,0.52002,-0.882324,-0.125488
179,0.492188,-0.873047,-0.052246
180,0.534668,-0.89502,0.008301
181,0.523926,-0.912109,0.076172
182,0.535645,-0.90625,0.102539
183,0.490723,-0.864258,0.135254
184,0.51123,-0.853516,0.135254
185,0.515625,-0.871582,0.17041
186,0.487305,-0.862305,0.208008
187,0.515137,-0.853027,0.212891
188,0.519043,-0.844238,0.241211
189,0.499512,-0.836426,0.26709
190,0.521973,-0.827637,0.29834
191,0.509766,-0.794434,0.318848
192,0.516113,-0.789551,0.35498
193,0.532227,-0.752441,0.383301
194,0.522949,-0.766602,0.412109
195,0.515137,-0.710449,0.458496
196,0.541504,-0.719727,0.489746
197,0.501953,-0.67627,0.505371
198,0.538086,-0.596191,0.536133
199,0.547363,-0.587402,0.578125
200,0.55957,-0.52832,0.633789
201,0.581543,-0.527832,0.679688
202,0.585449,-0.457031,0.65625
203,0.567871,-0.453613,0.693359
204,0.546387,-0.40625,0.694824
205,0.601562,-0.379395,0.742188
206,0.514648,-0.353516,0.743652
207,0.51416,-0.30127,0.763184
208,0.563477,-0.319824,0.763184
209,0.517578,-0.260254,0.79541
210,0.462402,-0.223145,0.824707
211,0.505859,-0.223145,0.829102
212,0.515137,-0.205566,0.835938
213,0.462402,-0.129395,0.82666
214,0.519531,-0.137695,0.859863
215,0.361816,-0.077637,0.894531
216,0.258789,0.055176,0.981934
217,0.328125,-0.025879,0.944336
218,0.222168,0.047363,0.951172
219,0.212891,0.063965,0.939453
220,0.133789,0.10791,0.943359
221,0.162109,0.089844,0.978027
222,0.169922,0.097168,0.952637
223,0.154785,0.092285,0.944336
224,0.186035,0.066895,0.950684
225,0.248047,0.038574,0.950684
226,0.209961,-0.000488,0.963379
227,0.256348,-0.030273,0.951172
228,0.310059,-0.030273,0.90625
229,0.328125,-0.079102,0.899902
230,0.48291,-0.102539,0.850586
231,0.510254,-0.205566,0.832031
232,0.522949,-0.239258,0.772949
233,0.629883,-0.281738,0.729004
234,0.73877,-0.290527,0.673828
235,0.725098,-0.30127,0.613281
236,0.731934,-0.290039,0.584961
237,0.774902,-0.339355,0.522949
238,0.847168,-0.354492,0.46875
239,0.817871,-0.375,0.435547
240,0.845215,-0.42041,0.399902
241,0.854004,-0.435059,0.345703
242,0.78418,-0.462402,0.306152
243,0.857422,-0.496094,0.250977
244,0.867188,-0.477051,0.20459
245,0.880371,-0.52832,0.189453
246,0.868164,-0.548828,0.1875
247,0.836914,-0.545898,0.165527
248,0.822754,-0.538086,0.177734
249,0.849121,-0.568359,0.148926
250,0.85791,-0.602051,0.074707
251,0.888184,-0.570801,0.020508
252,0.856934,-0.536133,-0.022949
253,0.924805,-0.493164,-0.072754
254,0.924316,-0.478027,-0.109375
255,0.950684,-0.448242,-0.115723
256,0.937012,-0.432617,-0.133301
257,0.95166,-0.209473,-0.087402
258,0.987305,-0.355469,-0.083984
259,1.001465,-0.320801,-0.100098
260,1.041504,-0.247559,-0.069336
261,0.986816,-0.194824,-0.04248
262,1.003906,-0.21582,-0.061035
263,1.004883,-0.121582,-0.123047
264,0.982422,-0.13916,-0.05957
265,0.970215,-0.062988,-0.124023
266,0.963379,0.11084,-0.209473
267,1.03418,0.241699,-0.263184
268,0.967285,0.430176,-0.210449
269,0.846191,0.557617,-0.186523
270,0.804199,0.653809,-0.213379
271,0.664551,0.759766,-0.22998
272,0.591309,0.80957,-0.19873
273,0.38623,0.92041,-0.269043
274,0.267578,0.951172,-0.29248
275,0.133789,0.967285,-0.287109
276,0.001465,0.973633,-0.280273
277,-0.170898,0.946777,-0.234863
278,-0.278809,0.922363,-0.211914
279,-0.351562,0.963867,-0.186035
280,-0.475586,0.89502,-0.169922
281,-0.523926,0.835449,-0.13623
282,-0.647461,0.754395,-0.188965
283,-0.815918,0.58252,-0.158203
284,-0.867188,0.420898,-0.123535
285,-0.943359,0.230469,-0.166992
286,-0.912598,0.062012,-0.185059
287,-0.898438,-0.072266,-0.212402
288,-0.875488,-0.210938,-0.259277
289,-0.962891,-0.364746,-0.268066
290,-0.855469,-0.33252,-0.278809
291,-0.885254,-0.416504,-0.295898
292,-0.845703,-0.464355,-0.307129
293,-0.766113,-0.552734,-0.311523
294,-0.728516,-0.615723,-0.29248
295,-0.669434,-0.691895,-0.298828
296,-0.51709,-0.757324,-0.265137
297,-0.452637,-0.835449,-0.26416
298,-0.371582,-0.910645,-0.250488
299,-0.185059,-0.975586,-0.245605
300,-0.086914,-0.979004,-0.23291
301,-0.054688,-0.993652,-0.245605
302,0.119141,-0.970703,-0.20752
303,0.277344,-0.916992,-0.257812
304,0.412109,-0.865723,-0.264648
305,0.517578,-0.826172,-0.287109
306,0.580078,-0.811523,-0.26709
307,0.603516,-0.790527,-0.249512
308,0.716797,-0.692871,-0.210449
309,0.756348,-0.668457,-0.239258
310,0.771484,-0.601562,-0.223145
311,0.822754,-0.573242,-0.249512
312,0.823242,-0.55127,-0.29541
313,0.831055,-0.539062,-0.261719
314,0.810059,-0.567383,-0.312012
315,0.826172,-0.564941,-0.302246
316,0.810547,-0.588379,-0.297363
317,0.782715,-0.596191,-0.290039
318,0.77832,-0.608398,-0.306641
319,0.789062,-0.611816,-0.325684
320,0.763184,-0.628418,-0.329102
321,0.779297,-0.628906,-0.322266
322,0.693359,-0.666504,-0.347656
323,0.712402,-0.645508,-0.378418
324,0.728516,-0.624512,-0.428711
325,0.718262,-0.581543,-0.45166
326,0.736816,-0.554199,-0.490723
327,0.745117,-0.526367,-0.52002
328,0.749023,-0.488281,-0.539062
329,0.759277,-0.463379,-0.541016
330,0.763672,-0.427246,-0.585938
331,0.717773,-0.401855,-0.634766
332,0.725586,-0.345703,-0.65332
333,0.727539,-0.303223,-0.684082
334,0.715332,-0.253418,-0.712891
335,0.697754,-0.184082,-0.750977
336,0.675781,-0.090332,-0.776367
337,0.670898,-0.016113,-0.814453
338,0.630859,0.017578,-0.845703
339,0.611328,0.019043,-0.877441
340,0.596191,0.044922,-0.861328
341,0.479004,0.109375,-0.939453
342,0.446777,0.150391,-0.945312
343,0.398926,0.19043,-0.996094
344,0.427246,0.273438,-0.865723
345,0.402832,0.292969,-0.885254
346,0.366699,0.311035,-0.931152
347,0.40332,0.350098,-0.899902
348,0.44873,0.387207,-0.86084
349,0.445801,0.420898,-0.830566
350,0.44043,0.4375,-0.804688
351,0.470703,0.438965,-0.813965
352,0.506348,0.449707,-0.79834
353,0.510742,0.433594,-0.803711
354,0.516113,0.388184,-0.808105
355,0.513184,0.377441,-0.797363
356,0.509766,0.40625,-0.818848
357,0.48584,0.433105,-0.819336
358,0.48291,0.42041,-0.813477
359,0.46582,0.428223,-0.804199
360,0.449219,0.438965,-0.820801
361,0.459473,0.42334,-0.851074
362,0.414062,0.378418,-0.861816
363,0.437988,0.332031,-0.869141
364,0.40332,0.339844,-0.852539
365,0.410156,0.308105,-0.898438
366,0.391602,0.285156,-0.90625
367,0.490234,0.274414,-0.897461
368,0.512207,0.230957,-0.900879
369,0.496582,0.144531,-0.921387
370,0.466797,0.09082,-0.930176
371,0.40918,0.016602,-0.967773
372,0.345215,-0.044922,-0.984375
373,0.314941,-0.101074,-0.978027
374,0.232422,-0.165039,-0.987793
375,0.171875,-0.200195,-1.00293
376,0.175293,-0.225586,-0.993652
377,0.13916,-0.279297,-1.027344
378,0.043945,-0.234375,-1.02002
379,-0.030273,-0.227051,-1.030273
380,-0.055176,-0.308594,-1.020996
381,-0.07666,-0.167969,-0.970215
382,-0.137695,-0.209473,-1.016602
383,-0.143066,-0.205078,-1.022949
384,-0.184082,-0.121094,-1.010742
385,-0.179688,-0.094727,-0.983887
386,-0.192383,-0.095215,-0.985352
387,-0.236328,-0.083008,-1.006348
388,-0.239258,0.179688,-0.934082
389,-0.272461,0.007324,-0.983398
390,-0.266113,0.107422,-0.992188
391,-0.277832,0.205566,-0.975098
392,-0.258301,0.164062,-0.98584
393,-0.291992,0.123535,-0.946289
394,-0.253906,0.10791,-0.957031
395,-0.242188,0.221191,-0.962402
396,-0.237305,0.316406,-0.926758
397,-0.279785,0.388672,-0.86084
398,-0.280762,0.47998,-0.822754
399,-0.269043,0.553223,-0.801758
400,-0.254395,0.562988,-0.787109
