Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g linked with dados_accel_25_08_full
166,0.671875,-0.63623,-0.429199
167,0.883789,-0.470703,-0.375
168,0.889648,-0.442871,-0.334961
169,0.915039,-0.238281,-0.319824
170,1.010742,-0.001465,-0.311523
171,1.012695,0.219727,-0.279297
172,0.963379,0.392578,-0.140625
173,0.904297,0.507324,-0.036621
174,0.766602,0.715332,-0.03418
175,0.59375,0.862305,-0.055664
176,0.228516,0.916504,-0.264648
177,0.030762,0.913086,-0.395508
178,-0.083984,0.890137,-0.4375
179,-0.272949,0.834961,-0.584473
180,-0.310059,0.657715,-0.605469
181,-0.381836,0.675293,-0.633789
182,-0.356445,0.67041,-0.635742
183,-0.441406,0.560547,-0.663086
184,-0.54834,0.4375,-0.725098
185,-0.572266,0.33252,-0.731445
186,-0.5625,0.262695,-0.802734
187,-0.516602,0.11084,-0.936035
188,-0.387207,0.063477,-0.92627
189,-0.289062,0.060059,-0.979004
190,-0.224121,0.050293,-0.966797
191,-0.196289,0.033203,-0.977539
192,-0.117676,0.049805,-1.058594
193,-0.071777,0.019531,-1.010742
194,-0.023926,0.026367,-1.030273
195,0.011719,0.04541,-1.020508
196,0.147461,0.080078,-1.054199
197,0.333496,0.083496,-0.969727
198,0.504395,0.081055,-0.874023
199,0.657715,0.012695,-0.739258
200,0.724609,-0.01123,-0.436035
201,0.807129,-0.119629,-0.748047
202,0.759277,-0.184082,-0.691406
203,0.711914,-0.268066,-0.737305
204,0.603027,-0.381348,-0.787109
205,0.490723,-0.524902,-0.75293
206,0.350098,-0.623047,-0.750977
207,0.212402,-0.704102,-0.763672
208,0.022949,-0.681641,-0.76709
209,-0.114746,-0.686523,-0.759766
210,-0.208496,-0.66748,-0.760254
211,-0.302246,-0.57373,-0.782227
212,-0.367676,-0.571777,-0.745117
213,-0.453613,-0.54541,-0.745117
214,-0.49707,-0.493164,-0.763184
215,-0.425293,-0.384766,-0.791016
216,-0.515137,-0.170898,-0.859863
217,-0.548828,0.039551,-0.87207
218,-0.531738,0.192871,-0.836914
219,-0.514648,0.251465,-0.827637
220,-0.504883,0.321777,-0.858887
221,-0.479492,0.453613,-0.769043
222,-0.413574,0.685059,-0.615234
223,-0.327148,0.861816,-0.369141
224,-0.23291,0.958496,-0.241211
225,-0.214355,0.967285,-0.081543
226,-0.148438,0.95752,0.098633
227,-0.048828,0.961914,0.273926
228,0.032715,0.906738,0.409668
229,0.179688,0.782227,0.61377
230,0.221191,0.624023,0.73291
231,0.257324,0.525879,0.793457
232,0.27002,0.358887,0.84375
233,0.331543,0.146484,0.893555
234,0.370605,-0.116211,0.932129
235,0.362793,-0.38623,0.904297
236,0.333008,-0.592285,0.578613
237,0.652344,-0.760254,0.449219
238,0.624023,-0.872559,0.230469
239,0.414551,-0.896484,0.021973
240,0.362305,-1.010742,-0.078613
241,0.425293,-0.944336,-0.195312
242,0.575195,-0.824707,-0.111816
243,0.804199,-0.756348,0.210449
244,0.731934,-0.656738,-0.04541
245,0.753418,-0.688965,-0.065918
246,0.790039,-0.540039,-0.196289
247,0.902832,-0.54834,-0.192871
248,0.950684,-0.442871,-0.21875
249,0.980957,-0.24707,-0.185059
250,1.04248,-0.129395,-0.248047
251,1.041016,0.084961,-0.26123
252,0.969238,0.15332,-0.317383
253,0.958496,0.336914,-0.347656
254,0.861816,0.426758,-0.439941
255,0.833008,0.459961,-0.44873
256,0.746582,0.52832,-0.483398
257,0.689453,0.624512,-0.501953
258,0.565918,0.692871,-0.527344
259,0.425293,0.75,-0.565918
260,0.385254,0.776367,-0.553711
261,0.333496,0.80127,-0.55957
262,0.536133,0.893066,-0.504395
263,0.162109,0.933594,-0.482422
264,0.260742,0.888184,-0.523926
265,-0.024414,0.929688,-0.432129
266,-0.014648,0.981445,-0.390625
267,-0.029785,0.976562,-0.325684
268,-0.057617,0.958008,-0.304688
269,-0.146484,0.973145,-0.222656
270,-0.150391,0.935059,-0.212402
271,-0.249023,0.967773,-0.135742
272,-0.363281,0.92334,-0.044922
273,-0.401367,0.904785,0.020508
274,-0.473145,0.826172,0.142578
275,-0.512695,0.814941,0.208496
276,-0.507324,0.795898,0.307617
277,-0.525391,0.739258,0.372559
278,-0.554688,0.664551,0.421875
279,-0.532715,0.61084,0.516602
280,-0.515625,0.557617,0.565918
281,-0.518555,0.507812,0.620117
282,-0.543457,0.431641,0.63916
283,-0.516602,0.430176,0.757812
284,-0.522949,0.202148,0.702148
285,-0.555664,0.125,0.745605
286,-0.623535,0.075195,0.787109
287,-0.616211,-0.010254,0.762695
288,-0.690918,-0.088867,0.679199
289,-0.786133,-0.111816,0.562988
290,-0.83252,-0.143555,0.518555
291,-0.796875,-0.173828,0.493164
292,-0.88623,-0.201172,0.338867
293,-0.960938,-0.12793,0.225098
294,-0.953125,-0.163086,0.020996
295,-0.918945,-0.167969,-0.274414
296,-0.808105,-0.231445,-0.391602
297,-0.891113,-0.110352,-0.482422
298,-0.891602,0.012695,-0.45459
299,-0.774902,-0.024414,-0.489258
300,-0.812988,-0.078613,-0.549316
301,-0.80957,-0.03418,-0.65332
302,-0.608398,-0.158203,-0.671387
303,-0.669434,-0.146973,-0.875
304,-0.633789,-0.10791,-0.812988
305,-0.438477,0.003418,-0.643066
306,-0.459473,-0.190918,-0.846191
307,-0.362793,-0.260742,-0.88623
308,-0.420898,-0.241211,-0.905273
309,-0.37207,-0.253418,-0.932129
310,-0.394531,-0.09375,-0.90918
311,-0.422363,-0.06543,-0.95459
312,-0.407715,-0.064941,-0.934082
313,-0.42334,-0.014648,-0.899902
314,-0.435547,0.023438,-0.926758
315,-0.490723,0.089844,-0.897949
316,-0.51123,0.13623,-0.852539
317,-0.550293,0.187988,-0.810059
318,-0.55957,0.290039,-0.795898
319,-0.590332,0.42334,-0.736816
320,-0.672852,0.731934,-0.757324
321,-0.577148,0.964844,-0.615234
322,-0.384277,0.880371,-0.3125
323,-0.304688,1.022949,-0.018555
324,-0.205566,0.951172,0.146484
325,-0.062988,0.866699,0.435547
326,0.103027,0.703125,0.770996
327,0.185547,0.514648,0.815918
328,0.253906,0.285156,0.996094
329,0.199707,0.057129,0.639648
330,0.347168,-0.089355,0.900391
331,0.36377,-0.217773,0.901367
332,0.479004,-0.265625,0.807129
333,0.482422,-0.48877,0.727539
334,0.439453,-0.499023,0.716309
335,0.472168,-0.61377,0.643066
336,0.406738,-0.719238,0.555664
337,0.356934,-0.783203,0.492188
338,0.324219,-0.852539,0.418457
339,0.299316,-0.867676,0.354004
340,0.369141,-0.920898,0.258789
341,0.314453,-0.942871,0.202637
342,0.304199,-0.972168,0.151855
343,0.31543,-0.986328,0.039062
344,0.295898,-0.950684,-0.057129
345,0.337402,-0.946777,-0.14209
346,0.461426,-0.880859,-0.195801
347,0.567871,-0.869629,-0.143066
348,0.594727,-0.811523,-0.15332
349,0.708496,-0.542969,-0.180176
350,0.853516,-0.610352,-0.135254
351,0.891113,-0.53125,-0.168945
352,0.93457,-0.16748,-0.26709
353,1.020996,-0.08252,-0.222656
354,1.021973,0.077637,-0.290039
355,0.984863,0.085938,-0.315918
356,0.946289,0.123535,-0.408203
357,0.929199,0.214844,-0.388672
358,0.862305,0.284668,-0.457031
359,0.728027,0.378906,-0.578125
360,0.700684,0.435059,-0.651367
361,0.571289,0.490234,-0.730469
362,0.491211,0.455078,-0.779785
363,0.381348,0.477051,-0.863281
364,0.266602,0.410645,-0.904297
365,0.181641,0.352051,-0.966309
366,0.12207,0.275391,-0.995605
367,0.073242,0.267578,-1.024902
368,0.047363,0.257324,-1.012207
369,0.071777,0.350098,-0.995117
370,0.207031,0.458496,-0.92041
371,0.360352,0.522461,-0.82373
372,0.484375,0.561523,-0.719238
373,0.605957,0.532227,-0.662109
374,0.740723,0.447266,-0.588379
375,0.84082,0.279297,-0.509277
376,0.895996,0.246094,-0.490234
377,0.929688,0.171875,-0.396973
378,0.960938,0.148926,-0.334961
379,1.027832,0.0625,-0.168457
380,1.010742,0.128418,-0.130371
381,0.984375,0.188477,-0.149902
382,0.953125,0.320801,-0.147461
383,0.948242,0.346191,-0.189453
384,0.826172,0.45459,-0.373047
385,0.729004,0.513184,-0.510254
386,0.605469,0.676758,-0.609375
387,0.386719,0.615234,-0.763184
388,0.22998,0.483887,-0.88916
389,0.234863,0.495605,-0.872559
390,0.174316,0.447266,-0.881836
391,0.104004,0.430664,-0.888672
392,0.036621,0.469238,-0.874512
393,-0.087402,0.507324,-0.885742
394,-0.169922,0.552734,-0.862793
395,-0.285645,0.753906,-0.67334
396,-0.282227,0.953613,-0.763184
397,-0.410156,0.833984,-0.556641
398,-0.476562,0.834473,-0.482422
399,-0.437988,0.785645,-0.310059
400,-0.464355,0.856934,-0.137207
401,-0.529785,0.893555,-0.038574
402,-0.471191,0.865723,0.006348
403,-0.420898,0.844238,0.039551
404,-0.436035,0.873047,0.133789
405,-0.410645,0.836914,0.216797
406,-0.423828,0.817383,0.283203
407,-0.405762,0.79541,0.399414
408,-0.436523,0.751465,0.439453
409,-0.433105,0.693359,0.472168
410,-0.444824,0.699707,0.543945
411,-0.505371,0.618652,0.520508
412,-0.538574,0.625488,0.469727
413,-0.573242,0.686035,0.407227
414,-0.53125,0.727051,0.388184
415,-0.503906,0.751465,0.342773
416,-0.505371,0.800781,0.324707
417,-0.440918,0.810059,0.373047
418,-0.442383,0.783203,0.208984
419,-0.407715,0.841797,0.128418
420,-0.404785,0.868652,0.21582
421,-0.461426,0.919434,0.166992
422,-0.340332,1.034668,0.386719
423,-0.429688,0.863281,0.204102
424,-0.504395,0.822754,0.179199
425,-0.630371,0.677246,-0.009766
426,-0.629883,0.652344,0.140625
427,-0.839844,0.452148,0.073242
428,-0.929688,0.273438,0.0625
