Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
167,-0.224088,-0.394891,-0.00292
168,-0.221898,-0.39854,0.00219
169,-0.222628,-0.40073,0.008029
170,-0.221168,-0.40438,0.014599
171,-0.220438,-0.40438,0.014599
172,-0.218248,-0.409489,0.023358
173,-0.220438,-0.410219,0.027737
174,-0.218248,-0.413139,0.032847
175,-0.216788,-0.416788,0.042336
176,-0.215328,-0.417518,0.052555
177,-0.213139,-0.422628,0.064234
178,-0.210949,-0.423358,0.078832
179,-0.208759,-0.424818,0.092701
180,-0.205109,-0.425547,0.105109
181,-0.205839,-0.422628,0.117518
182,-0.20438,-0.420438,0.127007
183,-0.206569,-0.418248,0.132117
184,-0.209489,-0.416788,0.135036
185,-0.208029,-0.414599,0.139416
186,-0.208029,-0.413869,0.143796
187,-0.208029,-0.411679,0.148905
188,-0.207299,-0.410219,0.155474
189,-0.206569,-0.408029,0.159124
190,-0.205839,-0.40438,0.164234
191,-0.205109,-0.40219,0.171533
192,-0.20365,-0.39781,0.177372
193,-0.20365,-0.394161,0.183942
194,-0.20146,-0.389051,0.192701
195,-0.20219,-0.383212,0.20073
196,-0.20292,-0.376642,0.207299
197,-0.20146,-0.367883,0.216058
198,-0.2,-0.359854,0.224818
199,-0.19562,-0.350365,0.232847
200,-0.192701,-0.339416,0.240876
201,-0.189781,-0.327007,0.249635
202,-0.189051,-0.322628,0.253285
203,-0.189781,-0.316788,0.256204
204,-0.189781,-0.309489,0.258394
205,-0.194161,-0.30292,0.259854
206,-0.192701,-0.29708,0.262044
207,-0.19708,-0.291241,0.262044
208,-0.20219,-0.283942,0.262774
209,-0.20219,-0.277372,0.264964
210,-0.205109,-0.270803,0.264234
211,-0.208029,-0.267153,0.264234
212,-0.210219,-0.264234,0.264234
213,-0.213139,-0.260584,0.263504
214,-0.220438,-0.252555,0.261314
215,-0.224088,-0.244526,0.260584
216,-0.239416,-0.227007,0.253285
217,-0.259854,-0.208029,0.237226
218,-0.267883,-0.19927,0.227737
219,-0.273723,-0.19562,0.221168
220,-0.273723,-0.194891,0.221898
221,-0.272993,-0.194891,0.221168
222,-0.273723,-0.19562,0.222628
223,-0.273723,-0.19781,0.221898
224,-0.273723,-0.20219,0.222628
225,-0.271533,-0.207299,0.226277
226,-0.263504,-0.216058,0.233577
227,-0.257664,-0.229197,0.240146
228,-0.246715,-0.240146,0.247445
229,-0.232117,-0.255474,0.254745
230,-0.218978,-0.269343,0.259124
231,-0.20438,-0.279562,0.263504
232,-0.189781,-0.290511,0.264964
233,-0.178102,-0.29927,0.264964
234,-0.164234,-0.310219,0.264964
235,-0.149635,-0.319708,0.263504
236,-0.140146,-0.327007,0.261314
237,-0.130657,-0.332847,0.258394
238,-0.121898,-0.337226,0.256204
239,-0.116058,-0.343066,0.253285
240,-0.110949,-0.347445,0.250365
241,-0.105109,-0.353285,0.245255
242,-0.09635,-0.360584,0.238686
243,-0.092701,-0.360584,0.238686
244,-0.09562,-0.373723,0.227737
245,-0.09635,-0.378102,0.224088
246,-0.09708,-0.382482,0.220438
247,-0.09781,-0.386861,0.218248
248,-0.1,-0.389051,0.213139
249,-0.09708,-0.39635,0.205109
250,-0.09562,-0.40438,0.19635
251,-0.092701,-0.411679,0.183942
252,-0.086131,-0.416788,0.174453
253,-0.077372,-0.418978,0.164964
254,-0.061314,-0.421168,0.157664
255,-0.057664,-0.421898,0.153285
256,-0.054015,-0.421898,0.148905
257,-0.045255,-0.418978,0.148175
258,-0.044526,-0.418978,0.149635
259,-0.032117,-0.415328,0.145985
260,-0.021168,-0.411679,0.142336
