Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga linked with dados_mag_25_08_full
164,-0.257664,-0.377372,-0.00365
165,-0.217518,-0.40073,-0.013139
166,-0.178832,-0.415328,-0.019708
167,-0.136496,-0.422628,-0.023358
168,-0.108029,-0.424818,-0.020438
169,-0.063504,-0.410949,-0.035036
170,-0.013139,-0.381022,-0.047445
171,0.021898,-0.348905,-0.052555
172,0.055474,-0.320438,-0.044526
173,0.076642,-0.287591,-0.036496
174,0.10365,-0.242336,-0.015328
175,0.113139,-0.20292,0.00365
176,0.108029,-0.153285,0.010949
177,0.092701,-0.116058,0.008029
178,0.075182,-0.083942,0.013869
179,0.044526,-0.046715,0.020438
180,0.024818,-0.027737,0.029197
181,0.008029,-0.017518,0.030657
182,-0.009489,-0.009489,0.027737
183,-0.028467,-0.005109,0.018248
184,-0.054745,-0.00073,0.00292
185,-0.090511,0.00219,0.00073
186,-0.128467,0.005109,0.010949
187,-0.170803,-0.00219,0.021168
188,-0.208759,-0.018248,0.015328
189,-0.229197,-0.032847,0.009489
190,-0.247445,-0.046715,0.008029
191,-0.264234,-0.064964,0.00219
192,-0.279562,-0.088321,-0.005839
193,-0.284672,-0.106569,-0.017518
194,-0.290511,-0.124088,-0.022628
195,-0.292701,-0.133577,-0.027737
196,-0.285401,-0.144526,-0.043796
197,-0.250365,-0.137226,-0.075912
198,-0.210219,-0.121898,-0.093431
199,-0.174453,-0.110219,-0.10365
200,-0.130657,-0.105839,-0.112409
201,-0.108029,-0.105109,-0.112409
202,-0.09562,-0.10219,-0.110949
203,-0.09927,-0.106569,-0.113139
204,-0.10146,-0.118978,-0.118978
205,-0.108029,-0.137956,-0.124818
206,-0.116788,-0.153285,-0.129927
207,-0.133577,-0.160584,-0.129197
208,-0.151095,-0.162774,-0.128467
209,-0.164964,-0.157664,-0.121898
210,-0.169343,-0.143796,-0.118248
211,-0.172263,-0.134307,-0.113869
212,-0.173723,-0.129927,-0.110949
213,-0.179562,-0.127007,-0.107299
214,-0.173723,-0.108029,-0.10073
215,-0.164234,-0.081752,-0.088321
216,-0.154015,-0.055474,-0.070073
217,-0.135766,-0.018248,-0.032847
218,-0.124818,-0.00438,-0.010219
219,-0.110949,0.00073,-0.00146
220,-0.10073,0.006569,0.011679
221,-0.082482,0.012409,0.037226
222,-0.055474,0.013139,0.085401
223,-0.032117,-0.00146,0.134307
224,-0.010219,-0.031387,0.178102
225,0.008759,-0.059854,0.20073
226,0.019708,-0.086861,0.213869
227,0.035036,-0.121898,0.223358
228,0.041606,-0.156934,0.232117
229,0.056934,-0.206569,0.227737
230,0.054745,-0.248175,0.226277
231,0.054015,-0.283212,0.217518
232,0.046715,-0.323358,0.20073
233,0.038686,-0.357664,0.175182
234,0.043066,-0.377372,0.138686
235,0.028467,-0.40219,0.082482
236,0.024088,-0.40219,0.038686
237,-0.008759,-0.366423,-0.058394
238,-0.032847,-0.344526,-0.087591
239,-0.037226,-0.332117,-0.09635
240,-0.040146,-0.310219,-0.110219
241,-0.045255,-0.29781,-0.116058
242,-0.047445,-0.309489,-0.111679
243,-0.054015,-0.329927,-0.10292
244,-0.059854,-0.345255,-0.094161
245,-0.072993,-0.354015,-0.091971
246,-0.086861,-0.359854,-0.089051
247,-0.083942,-0.366423,-0.083942
248,-0.069343,-0.374453,-0.075182
249,-0.041606,-0.381022,-0.059124
250,-0.023358,-0.381752,-0.048175
251,0.00146,-0.376642,-0.036496
252,0.021898,-0.367883,-0.029197
253,0.042336,-0.354745,-0.021168
254,0.056934,-0.339416,-0.016788
255,0.066423,-0.327737,-0.013869
256,0.078832,-0.310949,-0.010219
257,0.091971,-0.287591,-0.005839
258,0.10219,-0.254015,-0.00365
259,0.108759,-0.221168,0.00365
260,0.110949,-0.2,0.011679
261,0.111679,-0.180292,0.016058
262,0.108029,-0.156934,0.016058
263,0.094161,-0.122628,0.015328
264,0.092701,-0.117518,0.016058
265,0.085401,-0.105839,0.011679
266,0.080292,-0.094891,0.013139
267,0.075912,-0.084672,0.023358
268,0.072263,-0.075182,0.030657
269,0.071533,-0.073723,0.035036
270,0.062774,-0.059854,0.047445
271,0.043796,-0.039416,0.066423
272,0.023358,-0.024818,0.084672
273,0.005839,-0.014599,0.107299
274,-0.009489,-0.013869,0.128467
275,-0.012409,-0.016058,0.144526
276,-0.015328,-0.023358,0.160584
277,-0.016788,-0.029197,0.172263
278,-0.016788,-0.035766,0.183212
279,-0.018248,-0.044526,0.194891
280,-0.017518,-0.052555,0.205109
281,-0.016058,-0.061314,0.211679
282,-0.016058,-0.069343,0.219708
283,-0.021168,-0.079562,0.230657
284,-0.023358,-0.091971,0.240876
285,-0.030657,-0.111679,0.254015
286,-0.044526,-0.134307,0.267883
287,-0.058394,-0.152555,0.278102
288,-0.076642,-0.162774,0.283942
289,-0.09562,-0.170803,0.286131
290,-0.115328,-0.177372,0.288321
291,-0.134307,-0.182482,0.286861
292,-0.162774,-0.184672,0.283942
293,-0.189051,-0.186861,0.276642
294,-0.236496,-0.193431,0.255474
295,-0.283212,-0.19562,0.215328
296,-0.30073,-0.193431,0.192701
297,-0.306569,-0.188321,0.183942
298,-0.308029,-0.181022,0.176642
299,-0.310219,-0.162044,0.165693
300,-0.308759,-0.143796,0.154745
301,-0.308029,-0.127007,0.137226
302,-0.325547,-0.153285,0.10438
303,-0.316058,-0.127737,0.091241
304,-0.315328,-0.127007,0.071533
305,-0.30365,-0.107299,0.050365
306,-0.30365,-0.112409,0.037956
307,-0.305839,-0.121168,0.028467
308,-0.307299,-0.129927,0.020438
309,-0.30365,-0.130657,0.010949
310,-0.262044,-0.065693,0.015328
311,-0.258394,-0.065693,0.010219
312,-0.250365,-0.054745,0.018978
313,-0.243066,-0.043796,0.027007
314,-0.245255,-0.044526,0.027737
315,-0.247445,-0.045255,0.034307
316,-0.241606,-0.035036,0.053285
317,-0.232847,-0.026277,0.072263
318,-0.223358,-0.018978,0.083942
319,-0.210949,-0.013869,0.09927
320,-0.191971,-0.008029,0.125547
321,-0.133577,-0.019708,0.188321
322,-0.092701,-0.049635,0.225547
323,-0.068613,-0.078832,0.246715
324,-0.049635,-0.115328,0.262044
325,-0.028467,-0.186861,0.275182
326,-0.018978,-0.262044,0.267883
327,-0.016788,-0.30365,0.254015
328,-0.018978,-0.355474,0.222628
329,-0.030657,-0.39854,0.183212
330,-0.048175,-0.418248,0.162774
331,-0.064234,-0.432847,0.137956
332,-0.081752,-0.442336,0.107299
333,-0.084672,-0.444526,0.089051
334,-0.09708,-0.446715,0.081752
335,-0.118978,-0.446715,0.061314
336,-0.140146,-0.443796,0.047445
337,-0.156934,-0.437956,0.034307
338,-0.167883,-0.430657,0.018248
339,-0.172993,-0.421898,0.00073
340,-0.175912,-0.411679,-0.018248
341,-0.180292,-0.40146,-0.034307
342,-0.181022,-0.391241,-0.045985
343,-0.182482,-0.375912,-0.061314
344,-0.183212,-0.362774,-0.072263
345,-0.181752,-0.357664,-0.077372
346,-0.172263,-0.361314,-0.078102
347,-0.160584,-0.373723,-0.070803
348,-0.154015,-0.378832,-0.068613
349,-0.142336,-0.383212,-0.067153
350,-0.113139,-0.391971,-0.059854
351,-0.085401,-0.394161,-0.056204
352,-0.046715,-0.391971,-0.046715
353,-0.024818,-0.383212,-0.045255
354,-0.012409,-0.375182,-0.045255
355,-0.00292,-0.370803,-0.045255
356,-0.00073,-0.367153,-0.046715
357,0.007299,-0.365693,-0.040876
358,0.020438,-0.358394,-0.036496
359,0.029197,-0.348175,-0.039416
360,0.042336,-0.332117,-0.039416
361,0.051825,-0.316058,-0.043066
362,0.051825,-0.308029,-0.045255
363,0.056204,-0.30146,-0.046715
364,0.051825,-0.30146,-0.050365
365,0.051825,-0.3,-0.049635
366,0.052555,-0.294891,-0.051825
367,0.053285,-0.289781,-0.054015
368,0.047445,-0.291971,-0.058394
369,0.035766,-0.29781,-0.065693
370,0.026277,-0.305109,-0.070073
371,0.016788,-0.3,-0.078832
372,0.006569,-0.30146,-0.083942
373,-0.008029,-0.30219,-0.091241
374,-0.021168,-0.310219,-0.094161
375,-0.029927,-0.311679,-0.09781
376,-0.031387,-0.305839,-0.09927
377,-0.027007,-0.305109,-0.09854
378,-0.017518,-0.308029,-0.092701
379,-0.00146,-0.313869,-0.081752
380,0.010949,-0.319708,-0.072263
381,0.021898,-0.318978,-0.064234
382,0.040876,-0.315328,-0.049635
383,0.043066,-0.316058,-0.045255
384,0.049635,-0.316788,-0.040146
385,0.059854,-0.309489,-0.032117
386,0.078102,-0.286861,-0.024088
387,0.090511,-0.256934,-0.017518
388,0.09927,-0.213869,-0.008759
389,0.1,-0.189051,-0.00438
390,0.09781,-0.157664,0.00146
391,0.086861,-0.118978,0.008029
392,0.067153,-0.084672,0.011679
393,0.044526,-0.059854,0.009489
394,0.029927,-0.045985,0.010219
395,0.022628,-0.036496,0.017518
396,0.013139,-0.026277,0.027737
397,0.00146,-0.016058,0.038686
398,-0.00292,-0.011679,0.045255
399,-0.00365,-0.009489,0.059124
400,-0.00438,-0.007299,0.074453
401,-0.00292,-0.008759,0.086861
402,0.00219,-0.012409,0.09927
403,0.00146,-0.013869,0.105839
404,0.00438,-0.017518,0.115328
405,0.007299,-0.021898,0.124088
406,0.011679,-0.030657,0.143066
407,0.011679,-0.043066,0.163504
408,0.008029,-0.048175,0.175912
409,0.007299,-0.054745,0.186131
410,0.0,-0.056204,0.193431
411,-0.008759,-0.055474,0.2
412,-0.022628,-0.050365,0.20219
413,-0.023358,-0.050365,0.20292
414,-0.021898,-0.048175,0.20219
415,-0.018978,-0.051825,0.20292
416,-0.013869,-0.054015,0.20146
417,-0.005109,-0.056204,0.19854
418,0.007299,-0.054015,0.184672
419,0.008759,-0.043796,0.169343
420,0.008759,-0.032847,0.149635
421,0.007299,-0.024818,0.130657
422,0.016058,-0.027737,0.124818
423,0.010949,-0.023358,0.123358
424,-0.015328,-0.007299,0.112409
425,-0.040876,0.00292,0.10219
426,-0.077372,0.010949,0.10219
427,-0.125547,0.012409,0.081022
428,-0.165693,0.006569,0.070073
429,-0.20292,-0.009489,0.065693
430,-0.227737,-0.024818,0.052555
431,-0.247445,-0.040876,0.041606
432,-0.266423,-0.060584,0.035036
433,-0.286131,-0.093431,0.015328
434,-0.3,-0.121898,0.007299
435,-0.313869,-0.162044,0.00292
436,-0.321898,-0.20292,0.00365
437,-0.319708,-0.236496,0.00073
438,-0.313139,-0.272263,-0.00365
439,-0.30365,-0.29635,-0.00438
440,-0.29781,-0.310949,-0.00365
441,-0.289781,-0.325547,-0.005109
442,-0.278102,-0.340876,-0.006569
443,-0.272263,-0.348905,-0.008029
444,-0.264234,-0.356204,-0.010949
445,-0.262774,-0.358394,-0.008759
446,-0.270803,-0.348175,-0.010949
447,-0.292701,-0.318978,-0.007299
448,-0.30146,-0.30219,-0.00365
449,-0.307299,-0.287591,-0.005109
450,-0.308759,-0.280292,-0.007299
451,-0.307299,-0.270803,-0.015328
452,-0.30292,-0.267153,-0.023358
453,-0.29927,-0.262774,-0.027737
454,-0.29708,-0.256204,-0.034307
455,-0.291971,-0.250365,-0.043066
456,-0.289781,-0.241606,-0.047445
457,-0.284672,-0.228467,-0.054015
458,-0.284672,-0.212409,-0.054745
459,-0.279562,-0.180292,-0.054745
460,-0.279562,-0.162774,-0.050365
461,-0.278832,-0.154015,-0.047445
462,-0.278832,-0.145985,-0.042336
463,-0.278832,-0.135036,-0.034307
464,-0.281752,-0.122628,-0.023358
465,-0.280292,-0.110219,-0.016058
466,-0.278832,-0.10219,-0.006569
467,-0.275182,-0.093431,-0.00292
468,-0.274453,-0.089781,0.0
469,-0.271533,-0.090511,-0.005109
470,-0.267153,-0.093431,-0.015328
471,-0.258394,-0.09708,-0.029927
472,-0.246715,-0.09708,-0.043796
473,-0.218248,-0.083942,-0.055474
474,-0.181752,-0.066423,-0.062774
475,-0.160584,-0.067153,-0.070803
476,-0.142336,-0.053285,-0.064964
477,-0.129197,-0.056934,-0.070803
478,-0.119708,-0.050365,-0.065693
479,-0.09854,-0.048175,-0.064964
480,-0.067153,-0.046715,-0.059124
481,-0.045985,-0.045255,-0.050365
482,-0.040146,-0.040146,-0.043066
483,-0.031387,-0.038686,-0.036496
484,-0.015328,-0.038686,-0.027737
485,-0.00438,-0.033577,-0.013139
486,0.00438,-0.032847,0.00073
487,0.008029,-0.031387,0.009489
488,0.013139,-0.029197,0.021898
489,0.021898,-0.029927,0.035766
490,0.029197,-0.033577,0.040876
491,0.041606,-0.042336,0.042336
492,0.053285,-0.052555,0.042336
493,0.059854,-0.059124,0.048175
494,0.069343,-0.067883,0.051095
495,0.074453,-0.074453,0.057664
496,0.081752,-0.083212,0.086131
497,0.084672,-0.09562,0.115328
498,0.081022,-0.10146,0.144526
499,0.078102,-0.113869,0.161314
500,0.078102,-0.124818,0.172263
501,0.076642,-0.135766,0.181022
502,0.073723,-0.144526,0.189051
503,0.072263,-0.152555,0.194891
504,0.075912,-0.159854,0.193431
505,0.078832,-0.177372,0.19635
506,0.082482,-0.20292,0.194161
507,0.083212,-0.220438,0.193431
508,0.082482,-0.240876,0.191241
509,0.086131,-0.249635,0.183942
510,0.09562,-0.251825,0.166423
511,0.092701,-0.258394,0.170803
512,0.09781,-0.257664,0.159854
513,0.10219,-0.256934,0.149635
514,0.10146,-0.262044,0.150365
515,0.10292,-0.267153,0.141606
516,0.1,-0.276642,0.143796
517,0.09781,-0.291241,0.137956
518,0.094891,-0.30073,0.132117
519,0.089781,-0.317518,0.128467
520,0.081022,-0.335766,0.116058
521,0.074453,-0.350365,0.10365
522,0.066423,-0.361314,0.09562
523,0.062774,-0.367883,0.083942
524,0.053285,-0.378832,0.073723
525,0.038686,-0.391241,0.061314
526,0.019708,-0.405839,0.052555
527,-0.00365,-0.416788,0.040876
528,-0.024818,-0.424818,0.033577
529,-0.040146,-0.430657,0.029927
530,-0.045985,-0.432847,0.033577
531,-0.057664,-0.435766,0.036496
532,-0.068613,-0.440146,0.041606
533,-0.079562,-0.443066,0.048175
534,-0.091241,-0.445255,0.053285
535,-0.09781,-0.446715,0.059124
536,-0.091241,-0.446715,0.072993
537,-0.079562,-0.444526,0.10146
538,-0.070073,-0.437956,0.129927
539,-0.064964,-0.429927,0.148175
540,-0.054015,-0.420438,0.164964
541,-0.040876,-0.409489,0.178832
542,-0.029197,-0.393431,0.192701
543,-0.020438,-0.378832,0.205109
544,-0.014599,-0.367883,0.212409
545,-0.010219,-0.359124,0.217518
546,-0.007299,-0.350365,0.222628
547,-0.007299,-0.337956,0.231387
548,-0.009489,-0.337956,0.234307
549,-0.012409,-0.335036,0.236496
550,-0.016058,-0.339416,0.236496
551,-0.021898,-0.351095,0.230657
552,-0.033577,-0.374453,0.216788
553,-0.043066,-0.385401,0.208759
554,-0.051095,-0.394161,0.20219
555,-0.056934,-0.40365,0.194161
556,-0.059124,-0.406569,0.189781
557,-0.055474,-0.40146,0.194161
558,-0.048905,-0.388321,0.207299
559,-0.037226,-0.368613,0.222628
560,-0.028467,-0.348175,0.235766
561,-0.020438,-0.329197,0.244526
562,-0.008029,-0.312409,0.248175
563,-0.005109,-0.29927,0.251825
564,-0.008759,-0.284672,0.259124
565,-0.021898,-0.286131,0.264964
566,-0.040146,-0.292701,0.270073
567,-0.051825,-0.294161,0.272993
568,-0.061314,-0.308759,0.270073
569,-0.078832,-0.336496,0.258394
570,-0.087591,-0.352555,0.249635
571,-0.10365,-0.369343,0.237956
572,-0.116788,-0.387591,0.222628
573,-0.124088,-0.39927,0.210219
574,-0.127737,-0.406569,0.20292
575,-0.134307,-0.412409,0.191971
576,-0.139416,-0.417518,0.183942
577,-0.141606,-0.422628,0.175182
578,-0.145255,-0.425547,0.164964
579,-0.151825,-0.429927,0.155474
580,-0.156204,-0.432847,0.146715
581,-0.164964,-0.435036,0.132847
582,-0.168613,-0.436496,0.121898
583,-0.183212,-0.435036,0.108759
584,-0.227737,-0.418978,0.070803
585,-0.240146,-0.407299,0.046715
586,-0.253285,-0.391971,0.027007
587,-0.262774,-0.371533,0.00292
588,-0.266423,-0.351095,-0.017518
589,-0.261314,-0.327007,-0.045985
590,-0.244526,-0.306569,-0.072993
591,-0.232847,-0.277372,-0.091241
592,-0.232847,-0.262044,-0.094891
593,-0.227007,-0.240876,-0.10073
594,-0.209489,-0.221168,-0.110949
595,-0.209489,-0.221168,-0.110949
596,-0.211679,-0.205839,-0.108759
597,-0.208759,-0.183212,-0.109489
598,-0.188321,-0.156934,-0.111679
599,-0.151825,-0.126277,-0.112409
600,-0.10292,-0.116788,-0.114599
601,-0.069343,-0.120438,-0.112409
602,-0.061314,-0.132117,-0.116788
603,-0.051825,-0.169343,-0.124818
604,-0.048175,-0.211679,-0.127007
605,-0.062774,-0.243066,-0.129927
606,-0.086861,-0.269343,-0.128467
607,-0.121168,-0.292701,-0.121898
608,-0.151095,-0.310219,-0.113139
609,-0.175912,-0.325547,-0.09927
610,-0.207299,-0.331387,-0.082482
611,-0.235036,-0.327737,-0.068613
612,-0.259854,-0.320438,-0.051095
613,-0.281022,-0.30365,-0.041606
614,-0.29854,-0.280292,-0.029197
615,-0.310949,-0.263504,-0.016788
616,-0.317518,-0.264234,-0.00365
617,-0.320438,-0.271533,0.010949
618,-0.324088,-0.275912,0.021898
619,-0.328467,-0.272993,0.030657
620,-0.332117,-0.264964,0.040146
