Timestamp,X_Mag_Raw,Y_Mag_Raw,Z_Mag_Raw
0,-0.253285,-0.29927,-0.077372
1,-0.269343,-0.291241,-0.067883
2,-0.274453,-0.286861,-0.062774
3,-0.283942,-0.279562,-0.054745
4,-0.29635,-0.274453,-0.042336
5,-0.30365,-0.269343,-0.034307
6,-0.309489,-0.264234,-0.026277
7,-0.312409,-0.254015,-0.022628
8,-0.308759,-0.240146,-0.032117
9,-0.307299,-0.232117,-0.032847
10,-0.309489,-0.223358,-0.029927
11,-0.311679,-0.214599,-0.026277
12,-0.310949,-0.2,-0.024088
13,-0.308029,-0.178832,-0.025547
14,-0.29781,-0.151825,-0.026277
15,-0.292701,-0.135036,-0.024088
16,-0.291241,-0.131387,-0.021168
17,-0.290511,-0.127007,-0.021168
18,-0.287591,-0.122628,-0.019708
19,-0.285401,-0.116788,-0.021168
20,-0.277372,-0.108029,-0.021168
21,-0.267883,-0.090511,-0.020438
22,-0.258394,-0.078102,-0.016788
23,-0.248905,-0.065693,-0.013139
24,-0.237226,-0.050365,-0.00292
25,-0.221898,-0.036496,0.00365
26,-0.209489,-0.025547,0.012409
27,-0.20146,-0.016788,0.027737
28,-0.20219,-0.011679,0.046715
29,-0.209489,-0.013139,0.061314
30,-0.210949,-0.013139,0.070803
31,-0.215328,-0.015328,0.076642
32,-0.217518,-0.017518,0.081752
33,-0.225547,-0.020438,0.089781
34,-0.235036,-0.026277,0.09781
35,-0.241606,-0.030657,0.10438
36,-0.249635,-0.039416,0.109489
37,-0.253285,-0.042336,0.114599
38,-0.259124,-0.048175,0.118978
39,-0.262774,-0.053285,0.121168
40,-0.258394,-0.051095,0.132847
41,-0.252555,-0.051825,0.139416
42,-0.243066,-0.047445,0.143066
43,-0.240876,-0.045255,0.144526
44,-0.238686,-0.045255,0.145255
45,-0.230657,-0.043066,0.148175
46,-0.219708,-0.037226,0.150365
47,-0.212409,-0.035036,0.153285
48,-0.20146,-0.032847,0.156204
49,-0.191971,-0.029927,0.156934
50,-0.193431,-0.030657,0.156934
51,-0.191241,-0.031387,0.159124
52,-0.187591,-0.030657,0.158394
53,-0.185401,-0.029927,0.157664
54,-0.183212,-0.027737,0.156204
55,-0.178832,-0.027737,0.156204
56,-0.177372,-0.027007,0.157664
57,-0.170073,-0.025547,0.157664
58,-0.167883,-0.027007,0.159854
59,-0.166423,-0.027737,0.161314
