Timestamp,X_Mag_Ga,Y_Mag_Ga,Z_Mag_Ga
165,-0.111679,-0.40146,-0.050365
166,-0.116788,-0.415328,-0.035766
167,-0.115328,-0.423358,-0.027007
168,-0.114599,-0.426277,-0.024088
169,-0.113139,-0.423358,-0.027007
170,-0.110219,-0.417518,-0.035766
171,-0.109489,-0.405109,-0.046715
172,-0.09562,-0.389781,-0.062044
173,-0.091971,-0.370803,-0.074453
174,-0.082482,-0.345985,-0.088321
175,-0.070803,-0.313869,-0.10292
176,-0.059124,-0.281022,-0.110949
177,-0.049635,-0.226277,-0.114599
178,-0.062774,-0.170073,-0.105109
179,-0.072263,-0.114599,-0.081022
180,-0.054015,-0.056934,-0.027737
181,-0.051095,-0.024088,0.038686
182,-0.043796,-0.016058,0.10073
183,-0.044526,-0.042336,0.185401
184,-0.067883,-0.105839,0.255474
185,-0.094161,-0.184672,0.291241
186,-0.10146,-0.240876,0.29781
187,-0.086861,-0.291971,0.291971
188,-0.048175,-0.326277,0.278102
189,-0.00292,-0.350365,0.253285
190,0.021168,-0.360584,0.234307
191,0.040146,-0.366423,0.217518
192,0.048905,-0.383212,0.19854
193,0.043796,-0.39708,0.189781
194,0.043796,-0.386861,0.20073
195,0.015328,-0.362774,0.240146
196,-0.027007,-0.327737,0.273723
197,-0.043066,-0.284672,0.291241
198,-0.029197,-0.229197,0.292701
199,-0.015328,-0.177372,0.281752
200,-0.056934,-0.091971,0.245985
201,-0.088321,-0.064234,0.218248
202,-0.108759,-0.053285,0.2
203,-0.133577,-0.046715,0.181022
204,-0.178832,-0.054015,0.154015
205,-0.2,-0.063504,0.139416
206,-0.214599,-0.075912,0.145985
207,-0.260584,-0.124818,0.138686
208,-0.293431,-0.189781,0.116788
209,-0.30146,-0.274453,0.089781
210,-0.291241,-0.316788,0.074453
211,-0.277372,-0.351825,0.081752
212,-0.233577,-0.406569,0.072993
213,-0.2,-0.435036,0.072263
214,-0.158394,-0.453285,0.067883
215,-0.063504,-0.467883,0.10219
216,0.034307,-0.431387,0.121168
217,0.114599,-0.343796,0.137956
218,0.138686,-0.272263,0.137956
219,0.142336,-0.207299,0.131387
220,0.124088,-0.151095,0.132117
221,0.10365,-0.108759,0.126277
222,0.079562,-0.078102,0.125547
223,0.023358,-0.037956,0.118248
224,-0.049635,-0.018978,0.075912
225,-0.086131,-0.020438,0.069343
226,-0.120438,-0.026277,0.085401
227,-0.157664,-0.039416,0.069343
228,-0.206569,-0.068613,0.060584
229,-0.234307,-0.093431,0.057664
230,-0.258394,-0.126277,0.059124
231,-0.29562,-0.20292,0.083942
232,-0.294891,-0.29708,0.091971
233,-0.247445,-0.392701,0.093431
234,-0.19854,-0.432117,0.110219
235,-0.156204,-0.451825,0.119708
236,-0.113869,-0.462044,0.114599
237,-0.037226,-0.460584,0.111679
238,0.057664,-0.418248,0.09854
239,0.115328,-0.355474,0.089781
240,0.137956,-0.29635,0.10292
241,0.128467,-0.19781,0.159124
242,0.065693,-0.121168,0.20073
243,0.071533,-0.094891,0.164234
244,0.008759,-0.047445,0.148175
245,0.00438,-0.040146,0.134307
246,-0.006569,-0.035766,0.134307
247,0.031387,-0.054015,0.140146
248,0.10438,-0.116058,0.123358
249,0.143796,-0.221898,0.10438
250,0.126277,-0.330657,0.091971
251,0.1,-0.372993,0.067883
252,0.058394,-0.405839,0.035766
253,0.013139,-0.427737,0.013869
254,-0.026277,-0.435036,0.00073
255,-0.073723,-0.434307,-0.012409
256,-0.09781,-0.443796,0.008029
257,-0.143066,-0.437956,0.008759
258,-0.20365,-0.39781,0.00073
259,-0.254745,-0.341606,0.007299
260,-0.261314,-0.316788,-0.00292
261,-0.267883,-0.287591,-0.005109
262,-0.263504,-0.242336,-0.016788
263,-0.262774,-0.179562,0.00219
264,-0.251095,-0.129927,0.032847
265,-0.229927,-0.09854,0.040876
266,-0.205839,-0.070803,0.054015
267,-0.172263,-0.048905,0.061314
268,-0.139416,-0.036496,0.047445
269,-0.10292,-0.030657,0.043796
270,-0.072993,-0.034307,0.025547
271,-0.032117,-0.043796,0.008029
272,-0.00292,-0.053285,0.007299
273,0.029197,-0.070803,0.00365
274,0.051095,-0.090511,-0.00438
275,0.072993,-0.111679,-0.006569
276,0.093431,-0.147445,-0.013869
277,0.108759,-0.19708,-0.018978
278,0.105839,-0.258394,-0.028467
279,0.078832,-0.327737,-0.035036
280,0.036496,-0.376642,-0.036496
281,-0.00073,-0.40292,-0.035036
282,-0.031387,-0.417518,-0.029197
283,-0.061314,-0.425547,-0.026277
284,-0.082482,-0.427737,-0.021898
285,-0.106569,-0.425547,-0.024818
286,-0.141606,-0.411679,-0.027737
287,-0.162044,-0.405109,-0.025547
288,-0.185401,-0.391241,-0.025547
289,-0.210219,-0.363504,-0.029927
290,-0.219708,-0.332117,-0.041606
291,-0.20438,-0.331387,-0.054745
292,-0.19562,-0.324818,-0.065693
293,-0.176642,-0.310949,-0.082482
294,-0.149635,-0.294891,-0.09854
295,-0.122628,-0.272263,-0.110219
296,-0.108759,-0.250365,-0.116058
297,-0.085401,-0.229927,-0.119708
298,-0.052555,-0.206569,-0.119708
299,-0.026277,-0.186131,-0.115328
300,-0.007299,-0.164964,-0.108029
301,-0.00073,-0.132847,-0.09635
302,-0.005109,-0.117518,-0.094161
303,-0.011679,-0.116788,-0.09781
304,-0.031387,-0.137956,-0.112409
305,-0.027737,-0.171533,-0.120438
306,-0.029927,-0.209489,-0.124818
307,-0.013139,-0.263504,-0.117518
308,0.00365,-0.307299,-0.10219
309,0.018978,-0.340876,-0.078832
310,0.030657,-0.377372,-0.044526
311,0.058394,-0.394891,0.007299
312,0.040146,-0.425547,0.056934
313,0.018978,-0.436496,0.111679
314,-0.00219,-0.438686,0.137956
315,-0.025547,-0.437956,0.158394
316,-0.009489,-0.429927,0.164234
317,-0.009489,-0.426277,0.173723
318,-0.009489,-0.405109,0.20219
319,-0.009489,-0.39854,0.210219
320,-0.010949,-0.380292,0.228467
321,-0.00365,-0.354745,0.246715
322,0.009489,-0.343796,0.247445
323,0.018978,-0.330657,0.249635
324,0.018978,-0.321898,0.255474
325,0.036496,-0.282482,0.255474
326,0.058394,-0.213869,0.245255
327,0.043066,-0.169343,0.244526
328,0.032847,-0.134307,0.235766
329,0.016788,-0.108029,0.226277
330,0.010949,-0.076642,0.20219
331,0.00438,-0.062774,0.189051
332,0.00146,-0.051825,0.172993
333,0.027007,-0.043796,0.129197
334,0.043066,-0.048175,0.091241
335,0.052555,-0.057664,0.056934
336,0.072263,-0.080292,0.028467
337,0.084672,-0.09854,0.020438
338,0.10365,-0.117518,0.029197
339,0.124818,-0.158394,0.032117
340,0.143066,-0.205109,0.044526
341,0.137226,-0.256934,0.020438
342,0.118248,-0.337226,0.029927
343,0.083212,-0.391241,0.045985
344,0.067883,-0.413139,0.09635
345,0.028467,-0.426277,0.154745
346,0.021898,-0.422628,0.167153
347,0.021898,-0.435766,0.132117
348,0.016788,-0.443066,0.110219
349,0.008759,-0.446715,0.10292
350,0.008759,-0.442336,0.122628
351,0.018978,-0.428467,0.153285
352,0.024818,-0.414599,0.176642
353,0.022628,-0.405109,0.191241
354,0.005109,-0.39781,0.209489
355,-0.00219,-0.39781,0.213139
356,0.00365,-0.40219,0.205109
357,-0.035766,-0.424088,0.19562
358,-0.088321,-0.448905,0.160584
359,-0.150365,-0.446715,0.129197
360,-0.209489,-0.420438,0.083942
361,-0.216058,-0.412409,0.056934
362,-0.237226,-0.372263,0.016058
363,-0.236496,-0.329197,-0.025547
364,-0.227007,-0.279562,-0.054015
365,-0.213139,-0.243796,-0.067153
366,-0.213139,-0.235036,-0.067153
367,-0.179562,-0.229927,-0.086861
368,-0.20146,-0.194891,-0.068613
369,-0.150365,-0.182482,-0.091971
370,-0.114599,-0.151095,-0.089781
371,-0.110949,-0.121898,-0.074453
372,-0.088321,-0.123358,-0.081752
373,-0.050365,-0.115328,-0.075912
374,-0.005109,-0.120438,-0.070073
375,0.030657,-0.136496,-0.062774
376,0.059124,-0.153285,-0.054745
377,0.059124,-0.172993,-0.061314
378,0.064964,-0.219708,-0.069343
379,0.062774,-0.251095,-0.070803
380,0.049635,-0.292701,-0.073723
381,0.024088,-0.333577,-0.072263
382,-0.009489,-0.362044,-0.070803
383,-0.056204,-0.366423,-0.080292
384,-0.116788,-0.318978,-0.09781
385,-0.151825,-0.264234,-0.1
386,-0.139416,-0.222628,-0.10438
387,-0.133577,-0.158394,-0.091241
388,-0.10146,-0.107299,-0.070803
389,-0.073723,-0.072263,-0.043796
390,-0.065693,-0.045985,-0.008029
391,-0.057664,-0.032847,0.021898
392,-0.053285,-0.024818,0.047445
393,-0.052555,-0.025547,0.137956
394,-0.043796,-0.048905,0.190511
395,-0.041606,-0.067883,0.216058
396,-0.042336,-0.10292,0.248175
397,-0.029927,-0.130657,0.264234
398,0.00292,-0.183212,0.274453
399,0.018248,-0.221898,0.275912
400,0.032847,-0.248905,0.270073
401,0.051825,-0.290511,0.251825
402,0.067883,-0.337956,0.216788
403,0.072993,-0.367153,0.189051
404,0.076642,-0.386861,0.155474
405,0.068613,-0.410219,0.111679
