Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
0,-0.854004,-0.048828,-0.538086
1,-0.815918,-0.072754,-0.585449
2,-0.79834,-0.106445,-0.584961
3,-0.761719,-0.124023,-0.569336
4,-0.825195,-0.146484,-0.645508
5,-0.655273,0.039062,-0.865234
6,-0.34082,0.187012,-0.964355
7,-0.19043,0.285156,-0.949707
8,0.030762,0.33252,-1.00293
9,0.299316,0.325684,-0.901367
10,0.523438,0.286621,-0.849609
11,0.641113,0.328613,-0.770996
12,0.583984,0.502441,-0.66748
13,0.612793,0.644043,-0.506836
14,0.583008,0.817871,-0.177734
15,0.583496,0.812012,-0.231934
16,0.562012,0.815918,-0.209473
17,0.430176,0.892578,0.027344
18,0.348633,0.871094,0.139648
19,0.325684,0.928711,0.27832
20,0.219238,0.90332,0.308594
21,0.058594,0.895508,0.428711
22,-0.008301,0.908691,0.523926
23,-0.115723,0.841309,0.443359
24,-0.148926,0.878418,0.471191
25,-0.220215,0.867676,0.420898
26,-0.269043,0.853516,0.400879
27,-0.352051,0.844238,0.351074
28,-0.341797,0.842773,0.348633
29,-0.371582,0.871582,0.263184
30,-0.438965,0.859863,0.208984
31,-0.476074,0.824219,0.178223
32,-0.553711,0.808105,0.129883
33,-0.606934,0.751953,0.13916
34,-0.635254,0.73877,0.11377
35,-0.642578,0.729004,0.085938
36,-0.703613,0.683105,0.089844
37,-0.695312,0.652344,0.11377
38,-0.721191,0.645508,0.116699
39,-0.774902,0.59668,0.117188
40,-0.783203,0.57373,0.156738
41,-0.725586,0.609375,0.166016
42,-0.75,0.54834,0.254883
43,-0.82373,0.51123,0.139648
44,-0.805176,0.475098,0.26416
45,-0.783203,0.50293,0.322754
46,-0.790039,0.464355,0.338867
47,-0.782715,0.469727,0.286621
48,-0.807129,0.45459,0.290039
49,-0.828125,0.427246,0.250488
50,-0.86377,0.385254,0.308594
51,-0.855957,0.349609,0.312012
52,-0.848145,0.364258,0.294922
53,-0.850586,0.287109,0.342285
54,-0.853027,0.277832,0.381348
55,-0.852539,0.258301,0.376465
