0.999919, 0.011138, -0.005357, 0.003030
0.999931, 0.006584, -0.008489, 0.004776
0.999850, -0.016716, 0.004375, -0.001508
0.999481, -0.014383, -0.024761, 0.014787
0.999972, -0.001477, -0.005313, 0.005120
0.999981, -0.004124, 0.004495, 0.001097
0.999904, 0.001232, -0.009586, 0.009884
0.999863, -0.001805, 0.016294, -0.002206
0.999962, 0.004392, 0.001985, 0.007308
0.999829, 0.013787, 0.011483, 0.004454
0.999773, 0.017436, 0.001326, 0.012137
0.999768, 0.007661, 0.019479, 0.004988
0.999801, 0.010898, 0.011231, 0.012362
0.999177, 0.021809, 0.034058, 0.003195
0.999332, 0.028111, 0.017376, 0.015618
0.999305, 0.024490, 0.023115, 0.016002
0.998967, 0.035146, 0.016495, 0.023624
0.998514, 0.041148, 0.028976, 0.020883
0.998235, 0.042987, 0.034478, 0.022131
0.998326, 0.038850, 0.032893, 0.027471
0.997377, 0.046447, 0.051019, 0.021860
0.997302, 0.052984, 0.036014, 0.035844
0.995474, 0.065115, 0.064737, 0.024519
0.996389, 0.061194, 0.031506, 0.049709
0.994588, 0.074175, 0.062602, 0.037054
0.993627, 0.075711, 0.075980, 0.034634
0.993607, 0.076743, 0.069686, 0.044717
0.992793, 0.082247, 0.071047, 0.050501
0.990735, 0.092537, 0.087757, 0.046691
0.988404, 0.109625, 0.091195, 0.052177
0.987509, 0.108157, 0.102365, 0.051471
0.987082, 0.118159, 0.075317, 0.077682
0.983504, 0.131510, 0.105641, 0.065306
0.980026, 0.138782, 0.131223, 0.055399
0.979942, 0.143041, 0.118059, 0.072903
0.977518, 0.148493, 0.131503, 0.071525
0.973468, 0.171270, 0.124379, 0.086930
0.969946, 0.173781, 0.153577, 0.073616
0.970544, 0.172812, 0.139654, 0.093152
0.961560, 0.195928, 0.177643, 0.073869
0.964893, 0.190622, 0.141981, 0.111745
0.955706, 0.212040, 0.184140, 0.088076
0.954671, 0.216948, 0.173329, 0.107212
0.944964, 0.235382, 0.210325, 0.086037
0.942786, 0.239326, 0.212426, 0.093555
0.939768, 0.250137, 0.204469, 0.111621
0.933369, 0.264065, 0.215521, 0.112441
0.925626, 0.280547, 0.228034, 0.111848
0.917727, 0.294282, 0.244589, 0.106541
0.915105, 0.299435, 0.242639, 0.118525
0.909060, 0.310283, 0.249826, 0.122153
0.901547, 0.320269, 0.268011, 0.113186
0.894573, 0.331802, 0.276572, 0.114690
0.883904, 0.351366, 0.285753, 0.116622
0.884430, 0.345409, 0.289898, 0.120150
0.867014, 0.379217, 0.297675, 0.125983
0.859493, 0.387179, 0.311756, 0.119047
0.848728, 0.401522, 0.324898, 0.113500
0.844077, 0.408994, 0.321745, 0.129375
0.834960, 0.421478, 0.327628, 0.133632
0.820489, 0.437497, 0.349935, 0.113749
0.816190, 0.443263, 0.347096, 0.129909
0.805306, 0.454786, 0.360244, 0.121967
0.789469, 0.475259, 0.367847, 0.124722
0.779097, 0.485872, 0.376346, 0.123694
0.773583, 0.490416, 0.378846, 0.132428
0.757657, 0.506880, 0.392270, 0.123099
0.746158, 0.516990, 0.402757, 0.117292
0.733325, 0.529872, 0.407728, 0.123403
0.716323, 0.545097, 0.420992, 0.111880
0.708398, 0.549880, 0.428665, 0.109775
0.685677, 0.570938, 0.439400, 0.103942
0.681242, 0.573244, 0.438598, 0.122193
0.664342, 0.586723, 0.447414, 0.119273
0.647207, 0.598768, 0.459735, 0.106036
0.636462, 0.605033, 0.466616, 0.105457
0.625292, 0.611389, 0.473263, 0.105998
0.600868, 0.628371, 0.486454, 0.086425
0.591427, 0.632891, 0.490593, 0.094771
0.576717, 0.640760, 0.499484, 0.085676
0.568367, 0.643441, 0.504523, 0.091648
0.546386, 0.656300, 0.514337, 0.078675
0.541788, 0.655491, 0.518157, 0.091158
0.513150, 0.672364, 0.527536, 0.079433
0.503858, 0.674142, 0.534315, 0.078528
0.494935, 0.675250, 0.542903, 0.065826
0.474780, 0.684057, 0.546520, 0.089251
0.449681, 0.695462, 0.557871, 0.053846
0.428091, 0.703524, 0.564230, 0.058619
0.422838, 0.701148, 0.571292, 0.056787
0.414142, 0.700228, 0.577752, 0.066109
0.391148, 0.708287, 0.586258, 0.040432
0.379820, 0.708443, 0.593295, 0.042977
0.363905, 0.710593, 0.600380, 0.046644
0.350086, 0.711247, 0.607740, 0.047116
0.320057, 0.720880, 0.614400, 0.020230
0.296764, 0.725237, 0.621064, 0.015560
0.299396, 0.716701, 0.629419, 0.023090
0.277386, 0.720966, 0.635027, -0.002529
0.245851, 0.727968, 0.639728, -0.019182
0.235584, 0.723633, 0.648725, -0.003362
0.234120, 0.716260, 0.657388, -0.001206
0.210288, 0.717742, 0.663780, -0.004520
0.201544, 0.713177, 0.671320, -0.009375
0.190163, 0.710379, 0.677190, -0.024768
0.153887, 0.715609, 0.680244, -0.038605
0.154744, 0.705674, 0.690759, -0.030516
0.132913, 0.704586, 0.695974, -0.038903
0.120240, 0.699857, 0.702687, -0.044421
0.079270, 0.703982, 0.703135, -0.061045
0.075804, 0.696013, 0.711070, -0.064799
0.071460, 0.687071, 0.720334, -0.062812
0.066943, 0.678524, 0.728533, -0.066054
0.027364, 0.680487, 0.727651, -0.081927
0.029059, 0.667918, 0.740180, -0.071936
0.000362, 0.665743, 0.741359, -0.084701
0.011319, -0.657109, -0.749003, 0.084106
0.020546, -0.651358, -0.751579, 0.102178
0.044667, -0.644628, -0.756296, 0.102352
0.047074, -0.633788, -0.765063, 0.103806
0.072618, -0.626396, -0.769166, 0.103622
0.073432, -0.614585, -0.778457, 0.104392
0.098919, -0.611014, -0.775709, 0.123099
0.118317, -0.603134, -0.778128, 0.129410
0.121452, -0.589365, -0.789068, 0.123572
0.136102, -0.579968, -0.792792, 0.128819
0.149821, -0.566003, -0.801844, 0.119332
0.167802, -0.561236, -0.798172, 0.140633
0.163821, -0.542910, -0.813804, 0.127021
0.196016, -0.540968, -0.803755, 0.151361
0.195641, -0.526544, -0.813570, 0.150263
0.212401, -0.516168, -0.815097, 0.155158
0.213687, -0.499636, -0.826163, 0.148852
0.239612, -0.491978, -0.821743, 0.159003
0.245104, -0.479683, -0.826402, 0.163973
0.251278, -0.464290, -0.833905, 0.160921
0.280695, -0.455659, -0.827879, 0.167932
0.274800, -0.442796, -0.835126, 0.176013
0.287231, -0.426845, -0.840301, 0.170870
0.294940, -0.414750, -0.842413, 0.177011
0.313561, -0.401644, -0.842012, 0.177138
0.322704, -0.387102, -0.845300, 0.177434
0.354439, -0.378502, -0.835137, 0.183453
0.338042, -0.358207, -0.851439, 0.180187
0.338490, -0.345771, -0.854552, 0.188701
0.367249, -0.333161, -0.848144, 0.186504
0.387203, -0.322856, -0.842077, 0.191690
0.391637, -0.307640, -0.845462, 0.192798
0.384500, -0.284674, -0.858691, 0.183765
0.413470, -0.279913, -0.844120, 0.195326
0.406057, -0.262909, -0.852471, 0.198216
0.411933, -0.245952, -0.855218, 0.196015
0.415099, -0.227235, -0.859772, 0.191963
0.454387, -0.219992, -0.841518, 0.192310
0.424678, -0.195287, -0.862818, 0.192501
0.450699, -0.183591, -0.852643, 0.190173
0.458104, -0.171135, -0.850288, 0.194587
0.468535, -0.155164, -0.848362, 0.191522
0.465931, -0.138641, -0.852080, 0.194025
0.476899, -0.125335, -0.847919, 0.194658
0.484680, -0.107948, -0.846927, 0.190127
0.492663, -0.092252, -0.844656, 0.187961
0.500754, -0.077421, -0.841631, 0.186837
0.507252, -0.062464, -0.839130, 0.186158
0.525915, -0.048275, -0.830136, 0.178768
0.497702, -0.025539, -0.846406, 0.187715
0.524743, -0.015702, -0.831675, 0.180874
0.531843, -0.000705, -0.827802, 0.178570
0.532728, 0.017951, -0.827856, 0.174737
0.530385, 0.026242, -0.825886, 0.189516
0.529558, 0.054251, -0.828906, 0.171871
0.547444, 0.065503, -0.817600, 0.165966
0.565465, 0.077508, -0.805873, 0.157515
0.537131, 0.095542, -0.818852, 0.178447
0.554872, 0.110074, -0.807907, 0.165188
0.566842, 0.126662, -0.799537, 0.152933
0.564421, 0.144924, -0.798586, 0.150621
0.556507, 0.160810, -0.799763, 0.157540
0.558930, 0.176003, -0.795266, 0.155473
0.574500, 0.186020, -0.783222, 0.148016
0.583845, 0.201317, -0.774483, 0.137015
0.585203, 0.219569, -0.769842, 0.129109
0.569062, 0.239041, -0.774447, 0.138780
0.576927, 0.253047, -0.765617, 0.130206
0.592439, 0.261861, -0.752276, 0.120520
0.585901, 0.281465, -0.750686, 0.118185
0.589991, 0.293869, -0.743173, 0.115091
0.602827, 0.306443, -0.730070, 0.098434
