0.050021, -0.049724, 0.024695, 0.997204, 0.000000, 0.000000, 0.000000
0.100028, -0.099161, 0.049527, 0.988792, 0.000000, 0.000000, 0.000000
0.149464, -0.147904, 0.074853, 0.974773, 0.000000, 0.000000, 0.000000
0.198664, -0.195775, 0.099920, 0.955103, 0.000000, 0.000000, 0.000000
0.246711, -0.242153, 0.124346, 0.930072, 0.000000, 0.000000, 0.000000
0.293390, -0.287014, 0.148367, 0.899740, 0.000000, 0.000000, 0.000000
0.338729, -0.329829, 0.171821, 0.864264, 0.000000, 0.000000, 0.000000
0.381962, -0.370767, 0.194534, 0.823889, 0.000000, 0.000000, 0.000000
0.423335, -0.409309, 0.216420, 0.778727, 0.000000, 0.000000, 0.000000
0.462400, -0.445369, 0.237136, 0.729109, 0.000000, 0.000000, 0.000000
0.160673, -0.131189, 0.078920, 0.975062, 0.106389, -0.107290, 0.054055
0.206548, -0.172482, 0.101593, 0.957741, 0.106389, -0.107290, 0.054055
0.251771, -0.212502, 0.124079, 0.935980, 0.106389, -0.107290, 0.054055
0.295809, -0.251255, 0.145997, 0.909974, 0.106389, -0.107290, 0.054055
0.338893, -0.288553, 0.167489, 0.879680, 0.106389, -0.107290, 0.054055
0.380473, -0.324451, 0.188586, 0.845226, 0.106389, -0.107290, 0.054055
0.420570, -0.358429, 0.209019, 0.806822, 0.106389, -0.107290, 0.054055
0.458794, -0.390808, 0.228557, 0.764552, 0.106389, -0.107290, 0.054055
0.494876, -0.420953, 0.247497, 0.718778, 0.106389, -0.107290, 0.054055
0.528715, -0.449226, 0.265650, 0.669393, 0.106389, -0.107290, 0.054055
0.115145, -0.030288, 0.071179, 0.990332, 2.062033, -2.053671, 1.037092
0.062717, 0.029029, 0.051509, 0.996278, 2.062033, -2.053671, 1.037092
0.009814, 0.088081, 0.031446, 0.995569, 2.062033, -2.053671, 1.037092
-0.042392, 0.146795, 0.011426, 0.988192, 2.062033, -2.053671, 1.037092
-0.094382, 0.204925, -0.008779, 0.974177, 2.062033, -2.053671, 1.037092
-0.145578, 0.261639, -0.028712, 0.953692, 2.062033, -2.053671, 1.037092
-0.195339, 0.316981, -0.048434, 0.926833, 2.062033, -2.053671, 1.037092
-0.243449, 0.370465, -0.067907, 0.893799, 2.062033, -2.053671, 1.037092
-0.289806, 0.421717, -0.087074, 0.854743, 2.062033, -2.053671, 1.037092
-0.333998, 0.470208, -0.106017, 0.810006, 2.062033, -2.053671, 1.037092
-0.033937, 0.233730, -0.025391, 0.971377, 0.904810, -1.100809, 0.640005
-0.060129, 0.276478, -0.040841, 0.958267, 0.904810, -1.100809, 0.640005
-0.086200, 0.318477, -0.056200, 0.942329, 0.904810, -1.100809, 0.640005
-0.111923, 0.360063, -0.071488, 0.923427, 0.904810, -1.100809, 0.640005
-0.136762, 0.400610, -0.086600, 0.901836, 0.904810, -1.100809, 0.640005
-0.160953, 0.440278, -0.101522, 0.877464, 0.904810, -1.100809, 0.640005
-0.184296, 0.478643, -0.116729, 0.850476, 0.904810, -1.100809, 0.640005
-0.206996, 0.515959, -0.131539, 0.820753, 0.904810, -1.100809, 0.640005
-0.228483, 0.551783, -0.145990, 0.788681, 0.904810, -1.100809, 0.640005
-0.249503, 0.586029, -0.160283, 0.754074, 0.904810, -1.100809, 0.640005
0.076795, 0.325859, -0.019735, 0.942087, -0.265598, -0.172855, -0.008586
0.090810, 0.342104, -0.024809, 0.934935, -0.265598, -0.172855, -0.008586
0.105335, 0.358185, -0.029983, 0.927205, -0.265598, -0.172855, -0.008586
0.119628, 0.374109, -0.035325, 0.918958, -0.265598, -0.172855, -0.008586
0.134217, 0.389922, -0.040685, 0.910105, -0.265598, -0.172855, -0.008586
0.149192, 0.405297, -0.046201, 0.900745, -0.265598, -0.172855, -0.008586
0.164306, 0.420588, -0.051983, 0.890734, -0.265598, -0.172855, -0.008586
0.179462, 0.435495, -0.057948, 0.880216, -0.265598, -0.172855, -0.008586
0.194633, 0.450266, -0.064114, 0.869062, -0.265598, -0.172855, -0.008586
0.210046, 0.464613, -0.070248, 0.857368, -0.265598, -0.172855, -0.008586
0.316627, 0.296059, 0.073228, 0.898184, -0.454021, 0.314474, -0.489210
0.343680, 0.293618, 0.079026, 0.888497, -0.454021, 0.314474, -0.489210
0.370661, 0.291040, 0.084594, 0.877924, -0.454021, 0.314474, -0.489210
0.397543, 0.288138, 0.089772, 0.866531, -0.454021, 0.314474, -0.489210
0.424283, 0.285242, 0.095134, 0.854149, -0.454021, 0.314474, -0.489210
